GREEN,RED,IR
1754051,1227035,1153890
1754543,1226652,1156175
1754891,1226565,1156381
1755305,1225456,1156381
1755248,1224708,1157306
1755945,1224528,1157886
1757056,1223468,1158767
1758773,1221961,1159779
1761250,1219769,1160462
1764179,1216506,1162035
1767294,1212631,1163711
1769348,1209879,1165209
1770517,1206284,1166719
1771012,1204373,1167692
1770801,1202749,1169332
1770801,1201133,1170731
1771102,1199637,1171171
1771818,1199193,1172138
1772239,1196836,1172669
1771581,1196050,1173183
1771335,1195418,1173518
1774698,1190861,1173981
1776218,1187337,1174676
1777104,1182406,1176636
1776433,1172749,1179624
1774487,1172614,1187691
1774725,1174658,1191381
1776617,1172316,1195281
1776342,1167836,1197379
1775960,1168257,1199495
1775271,1169407,1202585
1774398,1171430,1203869
1773917,1174451,1205119
1772863,1177572,1206370
1772883,1180359,1207438
1772676,1182761,1207734
1772974,1185507,1208840
1773238,1187267,1210423
1775096,1187592,1210560
1776554,1184208,1210986
1777149,1181502,1211165
1775432,1185402,1212199
1775844,1190191,1212803
1776878,1189507,1213339
1777595,1187542,1212567
1777948,1184736,1211270
1778579,1177079,1211567
1779585,1171637,1211053
1777183,1156823,1210418
1773698,1154267,1207993
1771661,1157459,1206717
1773252,1159379,1205120
1776067,1151696,1203791
1778194,1141023,1202721
1779789,1136875,1201853
1779820,1133731,1201174
1779603,1130954,1199662
1779050,1129548,1198820
1776834,1130750,1198351
1777144,1134601,1197776
1779456,1127392,1197374
1781151,1117350,1197653
1779948,1114902,1198006
1778476,1118304,1196545
1778065,1120244,1197119
1777902,1120848,1197669
1777921,1122524,1197242
1777588,1124742,1196760
1777381,1126221,1197166
1776786,1128030,1198048
1776562,1130251,1199273
1776100,1133536,1199531
1775015,1143782,1199742
1776687,1149562,1200298
1779686,1146655,1200333
1781060,1140053,1200411
1780547,1137127,1202196
1780838,1138053,1202341
1780738,1137671,1202514
1780622,1138194,1203066
1780734,1137305,1202960
1781766,1135961,1204262
1782353,1134497,1204135
1782959,1131990,1204378
1783545,1129858,1204228
1783165,1124432,1204001
1782076,1123857,1203187
1781446,1120609,1202228
1780033,1114876,1201719
1777916,1110941,1200679
1776595,1112186,1201044
1775830,1114032,1200118
1775037,1117638,1200454
1774562,1121442,1201030
1774466,1124829,1200426
1774787,1126612,1200509
1775379,1128246,1200816
1775817,1129304,1202073
1776655,1129837,1203176
1777711,1129074,1204318
1778592,1127156,1204684
1779781,1124352,1205536
1780146,1121763,1205427
1780154,1119952,1203958
1779824,1119783,1203167
1779415,1120197,1201926
1778560,1121871,1200683
1778080,1124050,1199113
