GREEN,RED,IR
1679803,1495915,1558201
1680889,1496018,1557974
1681234,1495821,1557974
1682052,1495816,1557632
1682063,1495440,1557316
1682125,1495279,1557973
1682454,1495418,1557436
1682460,1495649,1556762
1682811,1495744,1557236
1682724,1496351,1556455
1682687,1496014,1556771
1682687,1496042,1557118
1682892,1495761,1557455
1683120,1495810,1558123
1683553,1495837,1558700
1683712,1495528,1558815
1684035,1495196,1559046
1684408,1495386,1558326
1684675,1495572,1559181
1685029,1495349,1559257
1684810,1495494,1559558
1684764,1495566,1559301
1684545,1495677,1558955
1684307,1496037,1559009
1684292,1496177,1559169
1684010,1495956,1558455
1683796,1495232,1558315
1683147,1494598,1557538
1682323,1494120,1556545
1681348,1493704,1555273
1680935,1493235,1554792
1679772,1492996,1553903
1678526,1492768,1553121
1678526,1492612,1551881
1677424,1492491,1552627
1676908,1492782,1552138
1676178,1492634,1551655
1675570,1492739,1550517
1675056,1492911,1549941
1674306,1494151,1549381
1674422,1494722,1549830
1674634,1494974,1550282
1674848,1495194,1550419
1675372,1495040,1550645
1675566,1495092,1550919
1675617,1495469,1550996
1676344,1495515,1551108
1677116,1495621,1551170
1677330,1495872,1551412
1677354,1495854,1552113
1677898,1495963,1552524
1678190,1495964,1553402
1678426,1496037,1553629
1678667,1495843,1553669
1678633,1495850,1554026
1678633,1495648,1553756
1678827,1495609,1554214
1678905,1495329,1554600
1679223,1495347,1554918
1679430,1494826,1558064
1679975,1494294,1556037
1679641,1494226,1555203
1679777,1494133,1554611
1679702,1494209,1556920
1679775,1493838,1554685
1679676,1494058,1554110
1679617,1493617,1553055
1679118,1494241,1554573
1679303,1494548,1548874
1679462,1494992,1546574
1679525,1495124,1544490
1679519,1495250,1541724
1679711,1495469,1539960
1679560,1495981,1537853
1680251,1496208,1535987
1679843,1496936,1534670
1679474,1497056,1533484
1679491,1497385,1532253
1679491,1497720,1531681
1680043,1498089,1530387
1680352,1498303,1530141
1680237,1498430,1529926
1680473,1498500,1529601
1680534,1498812,1529984
1680485,1499832,1530632
1680511,1500187,1531029
1680882,1500879,1531350
1680492,1501334,1531247
1680608,1501370,1531768
1680853,1501544,1531661
1681178,1501141,1532076
1681671,1501330,1532817
1682342,1501881,1533660
1682262,1501539,1532654
1682211,1501551,1533582
1682495,1501882,1534034
1682438,1502196,1533943
1682892,1502012,1533805
1682482,1502597,1533972
1682619,1502598,1533993
1682619,1502784,1533687
1683043,1502343,1533264
1683443,1502328,1532818
1683376,1501549,1532133
1683664,1500419,1533309
1683641,1499506,1532280
1682868,1497253,1531319
1682187,1496492,1531854
1681609,1495513,1531366
1681321,1494280,1530893
1680219,1492908,1531608
1679248,1491908,1531775
1678393,1491423,1531848
1677802,1490984,1531859
1677363,1490505,1531823
1677230,1490077,1532662
1676992,1489712,1533786
1676712,1489254,1533172
1676670,1489216,1534515
1676643,1488945,1535404
1676342,1489266,1535494
1676168,1489546,1535573
1676168,1489411,1535957
1676257,1489403,1536787
1676366,1489263,1537223
1676522,1489563,1537919
1676670,1489436,1538532
1676804,1489513,1538236
1677427,1490098,1538922
1677629,1490324,1539257
1677815,1490222,1539528
1678125,1490270,1538689
1678342,1490386,1538153
1678646,1489770,1539754
1678640,1489773,1540851
1678879,1489568,1540089
1679618,1489453,1540017
1679416,1489080,1540625
1679530,1489027,1540028
1680091,1488535,1540986
1679649,1488421,1541057
1679527,1488495,1541900
1679389,1488754,1541225
1679143,1488724,1541900
1679143,1488791,1541611
1679214,1488500,1543727
1679264,1488529,1543157
1679421,1488781,1544158
1679597,1488688,1543966
1679742,1488554,1544537
1680185,1488953,1544114
1680222,1489123,1545659
1680770,1489312,1546027
1680978,1489780,1546470
1681029,1489656,1547985
1681246,1489682,1549105
1681234,1489569,1549903
1681599,1489881,1550586
1681584,1490111,1551837
1682369,1490718,1552408
1682346,1490649,1553589
1682544,1490908,1553357
1682546,1490746,1553775
1683350,1491119,1553502
1683432,1491852,1553714
1683375,1491949,1553709
1683390,1491979,1553563
1683390,1492219,1552026
1683630,1491957,1551317
1683836,1492263,1550217
1684164,1492352,1549102
1684317,1492625,1545721
1684450,1492269,1544118
1685037,1492593,1541130
1685182,1493210,1540226
1685134,1492835,1537554
1685692,1493600,1535216
1685754,1493175,1532070
1686025,1493234,1531134
1686075,1493318,1529449
1686462,1493683,1528422
1686560,1493683,1526997
1686923,1493879,1526863
1686878,1493349,1526217
1686937,1492871,1526797
1686908,1492253,1527670
1686666,1491540,1528689
1686429,1490458,1529446
1685730,1489907,1529981
1685058,1488464,1530822
1685058,1487494,1531468
1684226,1486201,1531979
1683582,1485298,1534079
1682919,1484424,1534803
1682343,1483541,1535907
1681617,1482711,1536995
1680537,1482196,1537909
1680119,1482494,1538687
1679852,1482207,1539696
1679700,1482531,1540050
1679523,1482396,1540883
1679487,1482512,1541034
1679458,1482407,1541953
1679423,1483024,1541926
1679962,1483206,1541728
1680178,1483592,1541843
1680085,1484048,1542514
1680126,1483995,1542512
1680307,1484328,1541743
1680531,1484697,1542102
1680671,1485296,1542642
