GREEN,RED,IR
1753576,2027797,1649057
1753531,2028480,1648585
1753171,2028772,1648673
1753405,2028325,1647155
1753292,2028198,1646506
1753566,2028416,1644737
1753392,2028932,1644648
1753417,2028531,1644057
1752946,2028744,1643941
1753219,2029167,1643891
1752766,2029494,1643153
1753347,2029214,1643644
1752832,2029460,1643977
1753114,2029200,1643576
1753072,2029468,1643870
1753226,2029821,1643201
1752505,2030393,1642593
1752936,2030766,1642547
1752633,2030793,1641765
1752633,2030386,1641568
1752981,2030092,1641489
1752979,2030437,1641089
1753085,2030170,1640496
1752804,2029125,1640489
1753027,2028466,1639463
1752844,2027526,1639423
1752802,2027273,1639414
1752525,2027567,1639130
1752570,2026979,1638468
1752308,2026741,1638938
1752478,2026348,1639113
1751974,2026263,1638802
1751890,2026435,1640484
1752206,2026419,1640265
1752391,2025813,1639197
1751813,2025868,1638621
1751820,2025179,1638641
1751932,2025235,1638010
1752118,2024969,1638495
1751775,2025536,1638099
1751172,2025592,1637974
1751172,2025452,1637157
1751301,2025222,1638281
1751195,2025685,1637904
1751216,2025493,1637919
1751268,2024999,1637857
1751248,2024458,1637642
1751206,2024829,1637378
1750886,2025016,1637761
1751167,2024607,1637753
1750995,2025144,1637906
1750881,2024130,1636935
1750778,2024484,1637403
1750471,2023958,1637065
1750745,2024053,1636944
1750603,2023396,1637334
1750848,2023993,1637326
1751105,2023851,1637914
1751171,2023517,1637849
1750555,2023058,1638965
1750941,2023581,1638384
1750766,2023697,1637937
1750495,2024011,1638330
1750100,2023818,1638670
1750100,2023897,1637942
1750227,2023462,1638093
1750318,2024198,1639238
1750452,2023420,1639393
1750200,2023920,1639157
1750419,2023535,1639102
1750083,2023179,1639069
1751039,2024158,1640026
1750202,2023663,1639359
1750045,2024090,1639604
1750039,2023111,1639832
1751025,2023303,1639414
1749927,2022528,1640594
1749636,2022598,1640128
1750116,2022044,1638796
1750265,2022669,1639422
1750163,2022101,1639367
1750255,2022394,1639713
1750028,2022025,1639166
1749878,2022066,1639188
1749926,2021938,1640290
1749868,2022653,1640082
1749868,2021697,1639424
1749626,2022516,1638917
1749538,2022057,1639320
1749685,2022446,1640042
1749908,2021901,1640110
1749851,2021690,1640049
1749808,2021391,1639283
1749670,2020939,1639474
1750045,2020874,1639374
1749887,2020336,1639443
1750039,2020837,1638974
1750150,2020097,1638978
1749833,2019969,1638885
1749743,2020025,1638882
1750097,2020268,1639037
1750301,2019790,1637570
1750206,2020097,1637770
1750005,2019518,1637204
1749812,2019303,1638079
1749946,2019215,1637508
1750057,2019336,1638036
1749742,2019230,1636761
1749456,2019476,1636503
1749456,2018654,1636592
1749383,2018870,1637020
1749300,2018525,1637697
1748956,2018793,1637815
1749280,2018530,1637246
1749006,2018516,1636751
1748792,2018610,1636371
1748293,2018758,1637149
1748517,2018691,1637740
1748623,2018446,1637234
1748554,2018657,1637340
1748490,2018099,1638224
1748417,2018306,1638430
1748344,2018435,1638264
1748219,2018772,1637338
1748660,2018447,1637850
1748629,2018506,1637381
1748658,2018157,1637638
1748570,2018598,1638307
1748340,2018224,1638079
1748572,2018510,1638919
1748128,2018010,1638298
1748011,2018674,1638275
1748011,2018138,1638758
1747947,2018343,1638369
1747912,2018471,1638150
1747985,2018394,1638973
1747856,2017830,1638012
1747778,2017412,1638417
1747516,2017594,1638055
1747463,2017691,1638372
1747606,2017901,1638273
1747449,2017711,1637934
1747305,2018078,1637474
1747200,2017543,1638078
1746960,2018249,1638387
1747057,2018040,1638017
1747378,2018138,1638139
1747421,2017733,1638116
1747134,2018018,1637912
1747200,2017414,1637505
1747120,2017670,1638158
1747308,2017575,1636819
1747308,2017829,1637351
1746858,2017285,1637203
1746858,2017384,1637642
1746915,2017287,1636201
1746619,2016866,1636946
1747068,2017026,1637029
1747104,2017065,1637382
1746960,2016085,1637011
1746463,2016131,1637322
