GREEN,RED,IR
1388943,1687801,1937350
1388949,1688385,1937176
1389220,1688172,1937891
1388782,1687784,1937891
1388370,1687742,1937881
1388622,1687221,1936784
1388461,1687183,1936870
1388315,1687316,1936578
1388127,1687768,1936589
1388349,1687903,1937471
1388159,1687949,1936891
1387851,1687459,1936428
1388110,1687833,1938646
1388059,1687368,1938706
1387720,1687250,1937801
1387577,1686704,1938814
1387258,1686444,1938704
1387742,1685343,1937790
1387418,1685011,1938315
1387243,1684565,1939862
1387055,1683156,1938951
1387156,1682855,1937491
1387095,1682749,1938076
1386778,1681543,1938526
1386787,1681301,1938253
1386712,1681318,1939392
1386859,1681345,1938522
1386763,1681384,1939385
1386630,1681205,1939813
1386651,1681134,1939247
1386603,1681048,1938597
1386675,1680472,1939542
1386537,1680147,1938738
1386474,1679227,1938616
1386706,1679103,1938223
1386605,1678788,1938580
1386673,1678775,1938542
1386856,1678476,1938906
1386893,1679106,1939608
1386747,1679715,1938994
1386514,1679511,1938997
1386859,1679724,1938877
1387030,1679396,1939996
1386773,1679567,1939445
1387155,1679216,1939058
1386669,1679029,1939685
1386403,1679354,1939990
1386038,1679527,1940612
1385704,1679041,1940344
1385898,1677323,1940589
1385669,1675592,1940390
1385644,1675533,1941554
1385568,1674514,1941325
1385779,1674567,1941433
1385155,1674243,1940450
1384808,1674435,1940725
1385044,1674029,1940709
1384885,1673730,1940452
1385069,1673550,1940334
1384886,1672381,1941566
1384642,1671278,1941257
1384963,1670672,1940674
1384486,1668742,1941311
1384458,1667770,1941140
1384293,1667710,1941512
1384149,1667196,1940908
1384394,1666805,1940349
1384326,1666575,1941337
1383963,1666372,1941823
1383898,1665542,1942944
1384076,1665257,1942331
1383974,1664797,1942082
1384080,1664803,1942809
1384168,1664443,1943278
1383932,1663907,1943270
1383736,1663894,1943465
1383875,1663710,1942844
1384029,1663651,1941793
1384157,1663022,1942520
1384196,1662729,1942458
1384157,1662273,1942640
1384143,1661960,1943886
1384176,1661786,1943956
1383895,1661949,1942944
1383782,1661499,1942631
1383782,1661232,1943760
1383818,1660962,1943767
1383800,1660665,1943637
1383935,1659968,1943242
1383878,1659506,1942884
1383863,1658601,1942638
1383813,1657495,1943363
1383693,1657060,1942589
1383906,1656361,1941819
1383760,1655993,1941287
1383652,1655572,1942621
1383571,1654787,1943808
1383595,1654165,1942979
1383805,1653731,1943388
1383865,1653028,1942748
1383969,1652407,1942466
1384114,1651840,1942373
1384041,1650819,1942540
1383820,1650421,1942580
1383722,1649999,1943004
1383917,1649793,1943458
1383460,1649642,1942490
1383460,1649527,1943875
1383364,1649084,1942237
1383236,1648706,1942896
1383176,1648805,1944162
1383287,1648340,1943826
1383382,1647748,1944542
1382837,1647779,1945966
1382360,1647214,1943358
1382321,1647393,1943696
1382540,1646712,1943114
1382335,1646469,1944334
1382083,1645317,1944023
1381689,1643688,1943390
1381862,1643480,1944813
1381535,1643841,1944387
1381313,1644036,1943475
1381641,1644688,1943354
1381754,1644839,1944054
1381341,1645507,1943839
1381129,1645687,1943839
1381009,1645877,1945603
1380967,1645999,1944479
1381135,1646529,1945599
1380992,1646816,1945307
1380830,1646447,1943934
1380721,1646343,1944756
1380711,1646631,1944013
1380616,1646301,1945179
1380995,1646005,1944091
1380949,1644982,1945883
1380826,1644247,1945303
1380613,1643818,1945025
1380200,1643353,1945555
1380549,1643401,1944369
1380345,1642933,1945278
1380396,1642606,1944064
1380499,1642741,1945013
1380159,1642924,1945826
1379622,1643071,1945131
1380236,1642500,1945470
1380181,1642448,1944536
1379989,1643054,1945602
1379935,1643436,1945500
1380082,1644526,1945946
1379986,1645290,1945337
1379936,1645859,1945838
1380343,1646207,1945219
1379976,1645991,1947298
1380053,1645964,1946944
1379944,1646104,1945685
1380032,1646713,1945922
1380189,1646911,1945216
1379739,1647205,1946395
1380118,1647914,1945844
1379882,1648446,1946166
1380328,1649156,1945413
1380349,1649296,1945884
1379940,1649729,1946187
1380069,1650361,1945581
1380016,1650593,1946332
1379836,1650712,1946802
1379245,1650974,1946109
1379102,1651117,1947201
1379389,1651118,1947573
1379129,1651252,1944798
1379112,1651866,1945585
1378807,1651911,1945958
1378711,1652717,1945622
1378975,1653103,1945373
1378824,1653715,1946925
1378957,1653456,1945595
1378831,1654109,1945797
1378931,1653857,1945663
1378548,1654571,1945811
1378673,1654218,1945293
1378578,1654789,1946547
1378328,1655046,1945491
1378328,1655295,1945350
1378412,1655663,1946346
1378361,1656214,1946194
1378170,1656369,1946687
1378300,1656447,1946008
1378241,1656456,1947144
1378070,1656942,1946114
1377767,1657229,1943974
1377537,1656848,1946240
1377634,1656446,1945319
1377575,1657782,1945270
1377799,1659499,1945659
1377715,1660311,1945552
1377225,1659889,1945765
1377572,1659971,1946981
1377659,1659758,1946084
1377576,1659265,1946205
1377273,1658697,1945479
1377373,1658334,1945649
1377288,1658092,1944273
1377676,1658108,1945805
1377517,1658297,1945756
1377515,1658306,1945370
1377063,1659079,1945774
1377685,1659342,1945643
1377872,1658922,1946119
1377973,1658147,1946026
1377831,1658384,1945656
1377944,1657925,1945883
1377679,1657438,1947173
1376940,1657213,1947047
1377686,1656359,1946874
1377481,1655920,1946405
1377706,1656009,1946177
1377555,1656191,1946869
1377639,1656666,1946722
1378033,1656742,1947050
1377498,1656697,1947245
1377649,1655814,1946907
1377678,1654081,1947074
1377502,1652922,1947040
1377375,1651558,1947047
1377091,1650047,1947199
1376708,1648367,1946498
1376613,1646766,1948292
1376653,1645443,1947309
1376596,1643843,1947938
1376530,1642918,1946622
1376458,1641733,1946771
1376177,1640842,1947873
1376311,1640663,1946325
