GREEN,RED,IR
1356163,652716,1157738
1356059,652797,1157920
1356438,652925,1158570
1356409,652877,1158570
1356348,652850,1159098
1356306,652577,1158477
1356333,652544,1158057
1356311,652398,1158019
1356214,652353,1157449
1356046,652272,1156967
1355906,652061,1156452
1355906,651931,1155492
1355968,652072,1154962
1355914,652236,1154689
1356005,652354,1155057
1356063,652375,1154920
1355538,652306,1154520
1355644,652472,1154312
1355610,652223,1154483
1355807,652056,1154751
1355732,651785,1155178
1355707,651655,1155533
1355604,651493,1155947
1355743,651538,1156432
1355814,651452,1156630
1355943,651501,1156718
1355934,651310,1157321
1355825,651061,1157960
1355819,650867,1157787
1355749,650717,1158191
1355892,650680,1158256
1355702,650703,1158794
1355534,650847,1159968
1355534,650884,1161651
1355617,650863,1162497
1355561,651064,1162399
1355700,651297,1162301
1355714,651533,1162216
1355776,651545,1162396
1355596,651489,1163295
1355527,651361,1164765
1355486,651158,1165560
1355766,651028,1165252
1355677,650947,1164636
1355698,650642,1163772
1355407,650595,1163119
1355814,650666,1162982
1355462,650468,1163070
1355998,650359,1164175
1355926,650286,1164817
1355874,650212,1165847
1355538,650377,1166946
1355951,650376,1168095
1355836,650225,1168726
1355535,649763,1168573
1355535,649245,1168445
1355310,648826,1168378
1355487,648464,1168517
1355585,648219,1168537
1355698,647849,1168522
1355654,647627,1169060
1355604,647630,1169039
1355449,647891,1169043
1355540,648017,1169134
1355539,648092,1169713
1355652,647966,1169387
1355437,647526,1168732
1355592,647027,1167291
1355617,646758,1165613
1355665,646455,1164264
1355851,646078,1163255
1356040,645905,1162653
1355902,645666,1162226
1355861,645701,1161384
1355835,645357,1161316
1355984,644996,1161088
1355665,644970,1160837
1355651,644852,1160676
1355651,644782,1160752
1355395,644916,1160587
1355585,645263,1160852
1355434,645373,1162169
1355487,645417,1163204
1355374,645246,1162499
1355089,644747,1161837
1355146,644562,1160834
1355398,644376,1159800
1355255,644311,1159375
1355368,644201,1159286
1355277,644163,1159909
1355182,644168,1161006
1355315,644435,1160996
1355521,644681,1160116
1355535,645174,1158313
1355710,645434,1158216
1355617,645791,1159014
1355479,645843,1159806
1355240,645955,1161075
1355584,645813,1162182
1355225,645907,1162760
1355080,645801,1162434
1355080,645457,1161527
1354855,645057,1161652
1354928,644744,1162482
1354864,644601,1164085
1355036,644340,1165448
1355038,644256,1166602
1354969,644776,1166601
1354895,645358,1164875
1355016,645808,1163767
1354820,646355,1163501
1354825,646414,1163117
1354566,646592,1162982
1354555,646527,1163715
1354631,646473,1164389
1354906,646340,1164600
1354897,646218,1163010
1355080,646202,1161946
1354840,646110,1160782
1354732,645906,1160749
1354523,645668,1160891
1354909,645241,1160694
1354629,644967,1161431
1354559,644628,1161708
1354559,644486,1161537
1354571,644173,1161164
1354792,644319,1161362
1354643,644354,1162426
1354801,644577,1163043
1354633,644764,1163140
1354778,645667,1163861
1354785,646554,1164885
1354788,647280,1165370
1354735,648233,1165924
1354826,649206,1167387
1354711,650121,1168843
1354832,651171,1169829
1354722,652258,1170414
1355171,653163,1170013
1355143,653596,1169076
1355107,653369,1168407
1355126,653147,1168552
1355361,652863,1168778
1355327,652610,1169619
1355473,652547,1170344
1355199,652542,1170977
1355199,652694,1171363
1354998,652869,1172215
1355226,652941,1173169
1355303,652959,1174101
1355484,652817,1174170
1355557,652326,1174055
1355427,651780,1174248
1355581,651161,1174995
1355750,650997,1176246
1355608,651072,1177644
1355524,651017,1178053
1355597,650571,1178072
1355474,650128,1178106
1355728,649575,1177625
1355573,649101,1175734
1355957,648653,1174600
1355933,648357,1173001
1355695,648297,1170722
1355766,648238,1168742
1356176,648704,1167298
1356085,649321,1166591
1355940,649768,1166616
1355623,650077,1166435
1355730,650425,1166179
1355730,650851,1166018
1355822,651337,1166040
1355796,651737,1166309
1355922,651758,1165659
1355985,652004,1164563
1355700,652249,1163626
1355974,652463,1163836
1355838,652584,1164145
1355882,652504,1163984
1355818,652377,1163130
1355755,652273,1162730
1355439,652274,1162147
1355709,652090,1161350
