GREEN,RED,IR
1762953,1411264,1841447
1763329,1411500,1842096
1763309,1412050,1843313
1762958,1412473,1843586
1762958,1412782,1844482
1762772,1413140,1844897
1762816,1413513,1844918
1762622,1413690,1843724
1762514,1413668,1845055
1761823,1413760,1845844
1762460,1414441,1847291
1762401,1414988,1851503
1762398,1415259,1855063
1762075,1415978,1855615
1761955,1416447,1858060
1761810,1416559,1862057
1761423,1417231,1864540
1761408,1418086,1867202
1760540,1419756,1870485
1759212,1422796,1872329
1758322,1426883,1876986
1757954,1430186,1877079
1757405,1433192,1879790
1757362,1435622,1882824
1756983,1438327,1884979
1756861,1440590,1886288
1756861,1442459,1887921
1756852,1444525,1890312
1756589,1446166,1891919
1756291,1448086,1893844
1756278,1449729,1893603
1756200,1450542,1893609
1756398,1452541,1893647
1756801,1453098,1893513
1757279,1453667,1892437
1757621,1454062,1892305
1757724,1453917,1893332
1758096,1453611,1893036
1758147,1453372,1893555
1758595,1453043,1893267
1759023,1452795,1892276
1759551,1452344,1892945
1759972,1451419,1892874
1760026,1450222,1892201
1760443,1448266,1891611
1760269,1446842,1891057
1760569,1444658,1891617
1760300,1443075,1890727
1760353,1441533,1889078
1760353,1440061,1888517
1760468,1438853,1887677
1760690,1438296,1886924
1760814,1437727,1885351
1761046,1436774,1884531
1761201,1436099,1884732
1761432,1435735,1884380
1761514,1435920,1883775
1761650,1435750,1883481
1761556,1435934,1885581
1761664,1435752,1881815
1761463,1435406,1880456
1761474,1435438,1879149
1761625,1435264,1878915
1761722,1435170,1877455
1762290,1435214,1877528
1762212,1435462,1875894
1762066,1435285,1877226
1761662,1435602,1874789
1761908,1435850,1873949
1761951,1436180,1872097
1761715,1436646,1871173
1761557,1436547,1868724
1761557,1436620,1868473
1761583,1436518,1867247
1761723,1436785,1867777
1761509,1436902,1865886
1761516,1436821,1865423
1761369,1436978,1863948
1761519,1437237,1861607
1761235,1437806,1859613
1761352,1437981,1856884
1761302,1438381,1855778
1761220,1438604,1854072
1761177,1438655,1852295
1761173,1438926,1850004
1761292,1439256,1848973
1761601,1439414,1843962
1761654,1439726,1843210
1761777,1439794,1841182
1761731,1439884,1839968
1761643,1440095,1839247
1761725,1440353,1840664
1762285,1441024,1838201
1761752,1441275,1837944
1761793,1441333,1836780
1761793,1441338,1835636
1761848,1441304,1835973
1762028,1441383,1836803
1762214,1441332,1834724
1762318,1441221,1834673
1762208,1441448,1834588
1762352,1441761,1834330
1762370,1442064,1834057
1762717,1442171,1833383
1762704,1442423,1834418
1762546,1441941,1833173
