GREEN,RED,IR
1593573,1027847,1168109
1593696,1027259,1167071
1593693,1026762,1166429
1593777,1025875,1165531
1593984,1025160,1165025
1594219,1024639,1165025
1594034,1024241,1164288
1594268,1023916,1164010
1594346,1024049,1163497
1594510,1024554,1163530
1594434,1025084,1163375
1594089,1025657,1163704
1594089,1026134,1163643
1594189,1026618,1164809
1594255,1027378,1164437
1594313,1028181,1165264
1594451,1028414,1164917
1594726,1028613,1166726
1594554,1028590,1163975
1594602,1028956,1162852
1594542,1028741,1162107
1594667,1028914,1161526
1594732,1029023,1160939
1594797,1028919,1160891
1594592,1028972,1160847
1594807,1029025,1162139
1594942,1029062,1162071
1595223,1029314,1161284
1595146,1029418,1162003
1595077,1029562,1161736
1594978,1029926,1162380
1595053,1029955,1162698
1594963,1030275,1163674
1594659,1030516,1164338
1594452,1030340,1164951
1594098,1030363,1164856
1593910,1030503,1166148
1593844,1030415,1166300
1593756,1030777,1167556
1593336,1031100,1166658
1593360,1031253,1166777
1593393,1031576,1165968
1593442,1031708,1167044
1593547,1031977,1165133
1593403,1032004,1165914
1593377,1031837,1164506
1593396,1032085,1165222
1593424,1032438,1164332
1593621,1032711,1165046
1593667,1032725,1165961
1593662,1032951,1165900
1593681,1033040,1166796
1593677,1033409,1165578
1593693,1033374,1166078
1593561,1033807,1165272
1593435,1033556,1165330
1593435,1033646,1165202
1593472,1033403,1165383
1593610,1033432,1165773
1593570,1033308,1166386
1593596,1033066,1166786
1593461,1032613,1166994
1593524,1032773,1166224
1593242,1032956,1166007
1593304,1032964,1165291
1593388,1033279,1165609
1593563,1033206,1163794
1593278,1033239,1162611
1593352,1033514,1161700
1593392,1033802,1161485
1593899,1034118,1161346
1593795,1034493,1161352
1593763,1034451,1162248
1593896,1034895,1162674
1593887,1035205,1164264
1593986,1035448,1164705
1594115,1035636,1166279
1593755,1035898,1166919
1593755,1035838,1168453
1593549,1035799,1168994
1593858,1036148,1170354
1594082,1036411,1171147
1593988,1036206,1172722
1594330,1036283,1171999
1594058,1036305,1171913
1594521,1036520,1170136
1594454,1036959,1170275
1594574,1037000,1169273
1594560,1037152,1169133
1594702,1036905,1168475
1594626,1037538,1168241
1595500,1037773,1166205
1595282,1036484,1162449
1594681,1033330,1149757
1594569,1029680,1141695
1594251,1028789,1132365
1593874,1028328,1127481
1593607,1027781,1125673
1593378,1027119,1126008
1593255,1026403,1126829
1593122,1025805,1128720
1592890,1026250,1130862
1593180,1027424,1134426
1593345,1028607,1139121
1593106,1029476,1143599
1593320,1029526,1146921
1593209,1029053,1148726
1593531,1028964,1149668
1593267,1028787,1150252
1593221,1028923,1150644
1592549,1029082,1151027
1592879,1029212,1149837
1592897,1029237,1148097
1593025,1029436,1147020
1592901,1029649,1145877
1593035,1029598,1145350
1592795,1029697,1143603
1592994,1029987,1142915
1592939,1030663,1143354
1593371,1031456,1143984
1593062,1031534,1144328
1593601,1031568,1144744
1593587,1031612,1144854
1593422,1031773,1144702
1593284,1031766,1144637
1593372,1031524,1144736
1593640,1031247,1145185
1593625,1031093,1146201
1593630,1030914,1147171
1593722,1030937,1148291
1593671,1030752,1149364
1593776,1030957,1150309
1593906,1031186,1150965
1594057,1031296,1151532
1593876,1031347,1151207
1593957,1031485,1151149
1594183,1031620,1150588
1594198,1032040,1150614
1594565,1032166,1150919
1594205,1032556,1151068
1593932,1032737,1151610
1593932,1032735,1151765
1594064,1033089,1152334
1594282,1033306,1152551
1594371,1033242,1153171
1594519,1032849,1153727
1594403,1032476,1153592
1594245,1031856,1151411
1593922,1031547,1148997
1593714,1030772,1144292
1593396,1030311,1140121
1593249,1029594,1132401
1593132,1029035,1122490
1593164,1028604,1116934
1593050,1028525,1115258
1593240,1028340,1114410
1593174,1028231,1115505
1593150,1028269,1116207
1593226,1028343,1118068
1592961,1028811,1120671
1593035,1029112,1123439
1593008,1029670,1130428
1592594,1029781,1134317
1592594,1029539,1137843
1592747,1029290,1140449
1592848,1028983,1143555
1592823,1028750,1145332
1592707,1028683,1147547
1592737,1028337,1148821
1592596,1028295,1150364
1592721,1028503,1151101
1592711,1028559,1151609
1592786,1028674,1151199
1592761,1028689,1150577
1592490,1028701,1149477
1592595,1028878,1148086
1592581,1028904,1144899
1592507,1028552,1140130
1592723,1028377,1133490
1592789,1027985,1124357
1592757,1027429,1119100
1592718,1027158,1117204
1592797,1026739,1116851
1592603,1026702,1119460
1592423,1025039,1122179
1592820,1024452,1125110
1592810,1023190,1128284
1593243,1021937,1131280
1593330,1020453,1134476
1593057,1018599,1135682
1592922,1016677,1137499
1593140,1014641,1138532
1593318,1013219,1140307
1593273,1012543,1142312
1593310,1012262,1144481
1593206,1012373,1145723
1593113,1012512,1146879
1593286,1012868,1147241
1593513,1013282,1147995
1593637,1013366,1148982
1593464,1013556,1150379
1593566,1013358,1151165
1593414,1013575,1152371
1593731,1013888,1153447
1593628,1014817,1154764
1593609,1015340,1155360
1593609,1015750,1156615
1593385,1016022,1157054
1593695,1016570,1157328
1593851,1016831,1158088
1593878,1017291,1158240
1593898,1017783,1159187
1594155,1019439,1159270
1594082,1020403,1159545
1594164,1020993,1159258
1594191,1021549,1159459
1594394,1021943,1159119
1594248,1021981,1160149
1594250,1022360,1159881
1594318,1022729,1160323
1594487,1023075,1161017
1594773,1023681,1162297
1594765,1023909,1163411
1594837,1024110,1164089
1594550,1023907,1164336
1594742,1023507,1166108
1594874,1022888,1165980
1594137,1022394,1166307
1594137,1021399,1166503
1593823,1020632,1166655
1593712,1020102,1167197
1593393,1020007,1167186
1593192,1019725,1167593
1593153,1019801,1167350
1592812,1020514,1167223
1592843,1020806,1166836
1592747,1020790,1166704
1592761,1020701,1166605
1592680,1019663,1167716
1592526,1019388,1167812
1592697,1020945,1168738
1592752,1021015,1169392
1592178,1020572,1170453
1592686,1020384,1171088
1592558,1020103,1171956
1592642,1020025,1171813
1592406,1020188,1174825
1592095,1020025,1172017
1592259,1019743,1171282
1592218,1019270,1170858
1592128,1018645,1171716
1592186,1017854,1172259
1592077,1016498,1172169
1592135,1015362,1172361
1592037,1014768,1172485
1592208,1014227,1172838
1592555,1013988,1171850
1592500,1013321,1171358
1592303,1012032,1169808
1592408,1009490,1169148
1592511,1006190,1168278
1592685,1002309,1168211
1592419,997629,1167340
1592419,994113,1167603
1592586,991741,1167887
1592638,990957,1168701
1592772,991167,1169478
1592548,992131,1171874
1592819,993453,1171232
1592767,995539,1171955
1592964,996472,1171984
1592996,997099,1172571
1593014,997788,1172040
1592899,998842,1171198
1592907,999505,1171665
1592757,1000650,1171331
1593045,1001925,1172340
1593108,1002798,1172409
1593738,1003941,1173725
1593330,1005032,1173361
1593524,1005916,1173695
1593303,1007417,1172549
1593826,1008839,1172654
1593708,1009394,1171878
1593844,1009622,1172654
1593844,1009635,1172408
1593605,1009684,1172773
1593869,1009738,1172623
1593900,1009879,1173652
1594007,1009922,1173816
1593974,1010086,1174535
1594255,1010954,1174104
1594321,1011355,1173817
1594415,1011656,1172982
1594419,1012268,1173113
1594710,1012801,1172187
1594599,1013051,1171350
1594379,1013442,1170652
1594470,1014114,1169921
1594636,1014682,1169158
1594795,1015330,1167987
1594743,1015833,1167787
1594535,1016307,1166672
1594241,1016762,1166334
1594142,1017170,1166285
1594250,1017638,1167580
1593776,1018066,1167867
1593776,1018464,1169867
1593527,1018919,1169939
1593063,1019475,1171260
1593549,1019562,1171695
1593413,1019663,1172454
1593698,1019582,1171907
1593526,1019966,1171470
1593357,1020297,1170915
1593388,1020277,1171020
1593541,1020765,1170056
1593367,1020862,1168700
1593349,1020644,1168059
1593278,1020326,1166293
1593537,1020257,1164972
1593435,1020188,1163675
1593939,1020303,1162883
1593719,1020330,1162469
1593788,1020304,1163142
1593447,1020634,1163007
1593702,1020695,1164080
1593658,1020878,1164791
1593537,1021185,1165593
1593537,1021248,1165835
1593375,1021724,1165029
1593296,1022188,1163600
1593453,1023051,1161371
1593504,1023571,1159508
1593521,1023928,1156338
1593631,1024623,1151189
