GREEN,RED,IR
1775541,1533410,1182292
1775587,1533500,1181775
1775739,1533277,1181962
1775563,1533280,1181381
1775628,1532371,1181550
1775253,1531895,1182476
1775476,1531373,1182281
1775364,1531120,1182152
1775328,1530523,1182813
1774779,1530166,1182565
1774712,1529649,1182632
1774639,1529260,1182744
1774546,1529264,1182647
1774246,1529425,1181652
1773963,1529629,1182256
1773506,1529285,1181865
1773506,1529090,1181644
1773400,1529092,1182154
1773326,1529432,1181619
1773255,1529526,1182120
1772871,1529506,1183135
1772966,1529307,1182700
1772731,1529628,1182911
1772771,1529997,1183525
1772581,1530093,1183416
1772528,1530093,1183253
1772364,1530282,1184044
1772447,1529901,1183647
1772174,1529880,1183176
1772146,1530031,1183140
1772412,1529736,1183997
1772114,1530000,1184411
1771724,1529328,1184245
1771511,1528976,1185693
1771012,1528808,1186292
1771087,1529119,1186645
1770094,1528964,1186435
1770927,1529181,1186265
1770726,1529382,1186568
1770589,1529979,1186418
1770475,1529722,1186420
1770467,1529194,1187551
1769723,1529505,1187067
1770101,1529733,1187341
1770231,1529545,1186596
1770227,1531071,1187143
1770246,1530210,1186616
1770428,1530308,1187499
1769912,1530196,1188017
1770145,1530490,1187944
1770048,1530511,1188924
1769947,1531786,1190088
1770027,1530663,1190333
1770416,1531016,1190625
1768612,1531048,1190732
1768612,1530971,1191135
1769505,1530964,1191135
1769431,1532124,1189632
1769709,1531438,1190036
1769666,1531148,1190258
1769578,1530874,1189627
1769396,1531151,1189336
1769639,1532154,1189591
1769504,1531549,1188946
1769627,1531805,1188117
1768179,1531825,1187562
1769033,1531651,1186631
1769110,1531316,1186856
1769223,1532529,1186050
1769344,1532067,1185630
1769647,1532148,1185622
1768440,1532431,1184962
1769321,1532106,1184655
1769350,1532581,1185974
1769280,1533396,1185425
1769464,1533260,1185242
1768956,1533642,1185068
1767777,1533450,1184391
1767777,1533701,1185544
1768572,1533029,1184582
1768723,1533379,1184395
1768940,1532410,1184395
1768792,1531444,1183546
1767428,1530625,1183752
1767622,1530167,1184455
1767403,1530175,1183698
1767032,1529335,1184466
1766885,1529163,1183251
1765953,1528367,1184194
1766025,1528193,1183885
1765835,1528210,1185718
1765481,1527915,1183926
1765003,1527466,1184647
1764132,1527117,1183889
1764817,1527177,1184350
1764951,1527088,1184557
1764734,1526875,1184877
1763337,1526890,1183467
1763925,1526953,1183628
1763827,1526910,1183558
1763902,1527071,1183094
1763697,1526832,1184599
1763409,1526749,1184209
1762524,1526667,1184013
1763037,1526822,1183785
1763140,1526787,1184847
1763255,1527068,1184220
1763092,1526924,1185568
1762888,1526999,1184667
1762666,1526775,1185156
1762841,1527051,1185341
1762702,1527059,1185754
1762256,1527463,1186431
1762152,1526925,1186298
1762152,1527372,1186125
1762189,1526886,1186034
1762331,1527642,1185753
1762338,1527462,1186766
1762063,1527144,1186032
1761656,1527475,1187118
1761718,1527611,1185456
1761764,1527949,1186492
1761805,1527798,1186407
1761668,1528030,1186581
1761571,1527484,1187619
1761220,1527778,1186319
1761463,1527971,1186601
1761514,1528199,1186461
1761921,1528058,1186555
1761557,1528006,1187067
1761524,1527838,1188192
1761484,1527840,1186826
1761291,1527560,1186666
1761710,1527682,1186732
1761619,1527972,1187656
1760991,1528045,1188103
1760991,1527846,1188522
1761101,1528293,1187861
1761148,1527921,1188475
1761141,1528397,1188361
1761104,1527817,1188904
1760967,1527755,1187532
1760921,1527486,1188406
1760869,1527611,1188059
1760878,1527810,1188731
1760796,1527488,1189081
1760808,1527652,1188057
1760757,1527174,1188758
1760792,1527782,1188766
1760945,1527366,1189196
1760990,1527783,1188810
1761039,1527490,1188803
1760907,1527247,1188619
1761183,1526881,1188540
1761038,1527445,1188950
1761234,1527402,1189687
1761090,1527834,1189398
1760857,1527920,1189696
1760857,1528053,1189517
1760953,1527912,1189912
1761015,1528230,1189820
1760671,1528020,1189751
1760786,1527659,1189620
1760980,1527412,1190189
1760826,1527780,1189804
1761009,1527919,1190305
1760836,1528385,1189420
1761084,1528409,1190262
1760836,1528855,1191504
1761007,1528531,1190481
1760783,1528181,1191172
1760684,1527742,1191072
1760682,1527405,1190973
1760890,1526558,1190548
1760781,1526064,1191612
1760308,1525152,1190881
1760041,1524444,1191372
1759934,1523926,1191032
1759602,1523553,1192196
1759070,1523330,1191967
1758564,1523163,1192551
1758564,1522851,1191725
1758424,1522715,1192108
1758020,1522619,1191639
1757796,1522412,1192064
1757535,1521893,1190712
1757493,1521817,1189751
1756918,1522174,1189794
1756838,1522206,1190000
1756651,1522276,1189327
1756575,1522168,1187047
1756380,1522160,1187212
1756316,1521575,1186443
1755830,1521813,1186369
1756085,1521714,1186041
1756047,1522085,1185724
1755997,1521950,1185132
1755658,1522084,1186053
1755542,1521802,1185819
1755231,1522156,1185067
1755314,1522040,1185097
1754741,1522614,1185916
1754179,1522834,1185662
1753717,1523238,1185533
1753860,1523232,1185739
1753587,1523798,1185891
1753424,1523593,1185421
1753141,1523647,1185205
1753290,1523483,1184827
1753309,1523597,1184899
1753186,1523634,1185255
1752936,1523649,1185890
1752790,1523810,1185301
1752765,1523866,1185261
1752990,1524015,1185385
1753041,1524212,1184655
1752931,1524241,1184679
1752758,1524113,1184693
1752641,1523564,1185152
1752851,1524241,1184419
1752616,1524573,1184208
1752094,1524692,1184142
1752094,1524526,1184332
1752213,1524774,1183494
1752289,1524679,1184458
1752224,1524716,1183921
1752263,1524689,1184090
1752250,1524548,1183572
1752087,1524722,1184203
1752146,1524928,1184718
1752022,1524887,1184151
1752130,1525236,1183753
1752083,1525126,1183781
1752000,1524771,1184498
1751892,1525048,1184674
1751543,1525366,1184529
1752073,1525406,1184445
1752227,1525463,1184758
1752036,1525551,1185140
1752458,1525589,1184695
1752375,1525799,1184951
1752354,1526018,1185657
1752071,1526406,1185132
1751823,1526464,1184598
1751823,1526822,1185036
1751653,1527005,1185678
1752011,1527464,1185119
1751741,1527579,1185556
1751782,1527973,1185483
1751770,1527635,1185938
1751719,1528305,1185852
1751561,1528597,1186255
1751523,1530151,1186416
1751232,1529874,1185500
1751385,1529630,1185539
1751284,1529273,1185926
1751492,1529383,1186558
1751530,1529520,1186558
1751503,1529813,1186196
1751901,1530041,1186711
1752114,1530821,1186544
1751742,1530409,1186670
1751709,1530012,1186843
1752080,1530257,1187563
1752144,1530848,1187474
1752353,1530424,1188024
1752070,1530855,1187495
1751466,1530960,1187737
1752217,1530990,1187996
1752116,1530933,1188611
1752325,1532387,1188565
1752151,1531742,1188326
1752324,1530955,1188779
1751740,1530729,1189274
1752532,1530885,1189339
1752526,1531103,1189652
1752795,1532703,1188801
1752752,1531487,1189371
1752745,1531407,1189335
1752434,1531584,1188915
1752880,1531867,1190048
1752750,1532030,1189943
1752953,1533700,1190213
1752509,1532273,1190080
1752509,1531768,1190556
1752522,1530817,1190587
1752617,1530389,1190031
1752573,1529588,1190136
1752577,1530359,1190068
1752154,1529179,1190020
1751580,1528430,1191245
1750749,1527848,1191152
1751175,1527443,1191224
1750933,1527543,1190532
1750805,1528445,1190564
1750598,1527168,1191071
1750243,1526702,1191172
1749564,1526650,1190757
1750155,1526398,1189857
