GREEN,RED,IR
1311257,1951952,1960887
1311354,1952371,1961958
1311640,1952652,1962416
1311516,1952500,1962310
1311774,1952178,1962767
1311681,1952305,1962767
1311850,1951747,1962455
1311954,1952344,1962569
1311772,1952551,1962465
1311522,1952159,1962742
1311522,1952292,1962093
1311675,1952138,1961419
1311522,1952212,1960775
1311592,1951924,1960184
1311629,1951257,1958977
1311277,1951207,1958635
1311083,1950957,1957656
1311178,1951305,1957565
1311309,1951151,1955888
1311189,1951898,1956295
1311096,1951938,1956784
1311051,1951717,1956439
1311151,1952463,1956761
1311180,1952739,1955842
1311323,1952957,1955763
1311705,1953189,1956253
1311580,1953210,1958281
1311514,1953018,1958145
1311501,1953499,1959095
1311640,1953493,1958786
1311669,1953822,1959579
1311631,1954322,1960165
1311631,1954342,1960653
1311738,1954635,1959867
1311936,1954738,1960509
1311956,1954641,1959743
1312031,1954581,1960464
1312124,1954061,1961304
1312314,1954281,1961291
1312452,1954745,1960860
1312570,1954522,1961085
1312674,1955019,1962728
1312802,1955678,1961099
1312787,1955239,1961968
1313014,1955565,1960543
1312926,1955597,1961161
1313426,1955636,1960631
1313437,1955343,1960339
1313556,1955347,1962197
1313675,1955042,1960948
1313580,1955550,1962401
1313925,1955350,1961457
1313859,1956038,1961413
1313586,1956011,1961425
1313759,1956029,1962601
1313759,1956240,1964522
1313948,1956428,1963427
1314175,1956700,1963231
1314172,1956868,1964985
1314314,1956377,1964874
1314342,1956775,1964288
1314673,1956769,1965440
1314766,1956923,1965846
1314886,1956815,1966033
1314955,1956025,1965478
1314753,1954933,1966178
1314347,1953871,1966821
1314128,1952343,1966061
1313913,1951490,1967152
1313588,1950915,1968065
1313172,1950232,1967624
1312650,1949541,1968596
1311972,1948701,1969067
1311743,1948750,1969225
1311361,1948555,1968033
1310514,1948837,1968935
1310514,1948524,1968940
1310396,1948470,1969057
1310240,1948313,1968390
1310021,1948558,1966421
1310084,1948804,1965349
1309895,1948659,1964146
1309134,1948452,1963327
1309541,1948648,1960976
1309469,1948670,1959511
1309235,1948411,1958956
1309368,1948045,1957928
1309366,1947818,1955825
1309340,1947647,1956408
1309299,1947970,1955013
1309288,1948239,1955422
1309480,1948435,1954436
1309699,1948499,1956083
1309609,1947789,1956132
1309483,1947621,1957125
1309292,1947610,1955268
1309220,1947263,1956315
1309024,1947122,1956947
1308686,1946819,1957550
1308686,1946616,1958103
1308647,1947023,1957935
1308571,1946516,1958775
1308272,1946143,1959716
1308151,1945438,1959372
1308018,1945419,1959271
1307873,1945776,1959172
1307881,1945872,1959548
1307742,1946251,1960003
1307768,1946411,1958960
1307865,1945898,1959991
1307836,1945999,1959433
1307669,1946424,1959419
1307949,1946391,1959516
1308241,1946666,1957846
1308251,1946637,1958045
1308141,1946611,1958403
1308247,1946667,1958202
1308362,1946415,1957901
1308517,1946402,1957377
1308123,1946623,1957831
1308193,1947025,1958926
1308193,1947176,1958696
1308326,1947263,1957587
1308293,1946644,1959197
1308759,1948089,1958819
1308578,1948104,1958829
1308721,1948218,1959510
1308820,1948708,1959958
1309067,1948918,1960836
1309221,1949449,1961302
1309445,1949715,1961085
1309445,1949518,1961758
1309548,1949111,1961140
1309466,1948984,1962339
1309682,1948782,1962797
1309180,1948583,1962021
1309877,1948719,1961115
1310045,1948668,1962348
1310203,1948651,1963238
1310160,1948903,1963747
1310298,1949068,1964443
1310530,1949596,1964705
1310602,1949549,1965102
1310602,1949391,1965152
1310563,1949008,1965309
1310789,1948916,1966471
1310824,1948898,1966270
1310781,1948499,1966913
1310916,1947329,1967333
1310134,1945146,1967462
1310483,1944115,1966910
1309301,1942605,1968884
1308421,1941864,1968646
1307553,1941323,1967741
1306878,1939554,1967308
1306166,1938800,1967600
1305865,1938434,1966104
1305680,1937864,1963431
1305946,1938031,1960985
1305018,1937920,1958588
1304767,1937609,1956883
1304298,1937392,1954358
1304708,1937420,1951899
1304211,1937734,1947929
1303746,1937738,1947107
1303644,1937496,1946756
1303644,1937545,1946594
1303394,1937131,1945261
1303334,1936777,1946785
1303227,1936312,1945879
1303159,1935496,1946265
1303074,1935264,1944787
1303128,1934581,1945950
1303010,1935088,1945951
1303136,1934514,1948290
1302878,1934434,1947150
1302713,1933917,1947136
1302591,1932525,1947362
1302409,1932150,1949214
1302355,1931744,1949195
1302311,1931114,1948299
1302289,1930572,1947074
1302055,1930138,1947094
1301691,1929720,1947895
1301536,1929599,1947241
1301278,1930013,1945162
1300966,1930179,1943851
1300687,1929932,1941408
1300687,1929421,1939619
1300605,1929372,1938454
1300448,1929214,1937820
1300563,1928662,1937260
1300451,1928478,1936084
1300413,1928271,1935942
1300442,1928653,1934508
1300386,1929643,1933622
1300490,1930005,1932810
1300677,1930066,1933823
1300642,1930223,1933907
1300683,1930047,1932865
1300684,1930002,1931434
1300516,1929860,1932253
1300926,1928962,1931144
1301120,1929156,1931341
1301331,1929478,1930794
1301377,1929639,1931565
1301528,1929258,1931424
1301436,1929707,1931282
1301732,1929693,1930104
1301798,1929792,1930629
1301540,1930337,1931858
1301540,1930182,1930134
1301393,1930572,1931150
1301619,1931034,1930630
1301744,1931517,1931855
1301856,1931397,1931603
1302079,1931718,1930230
1302417,1931963,1930293
1302443,1931829,1929734
1302621,1931560,1929900
1302699,1931055,1930079
1302807,1931357,1929139
1302918,1931036,1930005
1303001,1931091,1930116
1303174,1931358,1929607
1303347,1931411,1929100
1303447,1931824,1929140
1303787,1932040,1930476
1303893,1932316,1931043
1303843,1933046,1930884
1304120,1933540,1931962
1304264,1933480,1930941
1304106,1932990,1930872
1303785,1931820,1931175
1303785,1930155,1931290
1303378,1928628,1931704
1302913,1927253,1931280
1302212,1925992,1931558
1301337,1924381,1931766
1300641,1922939,1931283
1298363,1922063,1930299
1297631,1922150,1929751
1297237,1921870,1929005
1296814,1922026,1925616
1296583,1921822,1924011
1296058,1921324,1920210
1296089,1921071,1919381
1295810,1921199,1918271
1295815,1921138,1916164
1295883,1921144,1914351
1295746,1921425,1913684
1295634,1921500,1913094
1295677,1921552,1912401
1295642,1921729,1912558
1295469,1922102,1913678
1295338,1922853,1913706
1295338,1922958,1913841
1295317,1923372,1916338
1295291,1923755,1918172
1295543,1923667,1918769
1295492,1923259,1918478
1295610,1922496,1919498
1295193,1921842,1919924
1294906,1921835,1921033
1294956,1920911,1922805
1294788,1920546,1922877
1294490,1920083,1923652
1294264,1919073,1924305
1293792,1918464,1924250
1293660,1918571,1925438
1293601,1918800,1925313
1293852,1919056,1925375
1293517,1919398,1925139
1293371,1919739,1925243
1293312,1919742,1924488
1293320,1920097,1925935
1293356,1920527,1926112
1293230,1920860,1925747
1293192,1921590,1925373
1293192,1921909,1925203
1293263,1921925,1924898
1293269,1922334,1925129
1293439,1922283,1924833
1293302,1921610,1924095
1293292,1922146,1924362
1293784,1922799,1926243
1293996,1923204,1926975
1294081,1923444,1928446
1294055,1924043,1928242
1294138,1924279,1927156
1294257,1923656,1925613
1294357,1923875,1926225
1294591,1923879,1927577
1294834,1924285,1927407
1295153,1924738,1927857
1295168,1925251,1928007
1295536,1925319,1928096
1294882,1925637,1926984
1295507,1925802,1928321
1296047,1926028,1927699
1295722,1925980,1927576
1294906,1925875,1928976
1294906,1926005,1930554
1295714,1926081,1929732
1296044,1926788,1930798
1296291,1927399,1930628
1296354,1927484,1928467
1296534,1928561,1930561
1296614,1930097,1931498
1297150,1930458,1931706
1297271,1930699,1930831
1297379,1930712,1931783
1297501,1930238,1931092
1297296,1929318,1930745
1297113,1929110,1932435
1296810,1928292,1932524
1297198,1927468,1932784
1295990,1926435,1932233
1295028,1925995,1932987
1294085,1925026,1934153
1293327,1924783,1932987
1292668,1924642,1932422
1291979,1924508,1931501
1291202,1924337,1932186
1291202,1924463,1930914
1290870,1924122,1929342
1290563,1924367,1927915
1290246,1924194,1926432
1290178,1924661,1922954
1290693,1924214,1921301
1289915,1924918,1919676
1290363,1925712,1917319
1290068,1925976,1917180
1290068,1925952,1915531
1290126,1926037,1915560
1290101,1925571,1915433
1290463,1925695,1914510
1290375,1926263,1915543
1290683,1926873,1914784
1290853,1927765,1915508
1290723,1928302,1915682
1291023,1928855,1916786
1291139,1929140,1917103
1290981,1929399,1919046
1290961,1929783,1918840
1290742,1929897,1919295
1290522,1929846,1919465
1290522,1930258,1921250
1290440,1930829,1922203
1290345,1931310,1922452
1290311,1932027,1922683
1290299,1932205,1923095
1289950,1933557,1922125
1290069,1934530,1923307
1290129,1935957,1921739
1290291,1936877,1922721
1290308,1937862,1923128
1290608,1938714,1924251
1290673,1939750,1923665
1290836,1941180,1923866
1291110,1942915,1922751
1291461,1944048,1922979
1291632,1944926,1921894
1291760,1946146,1922382
1292021,1945899,1921531
1292451,1946360,1921713
1292631,1946756,1921637
1292677,1947483,1921998
1292754,1948190,1922403
1292754,1948818,1922651
1293022,1949770,1922381
1293183,1951383,1922501
1293611,1951544,1923354
