GREEN,RED,IR
1765313,1736648,1258783
1765680,1737573,1260217
1766168,1737863,1259422
1766408,1738220,1259739
1765997,1738762,1260236
1765901,1739211,1260240
1766239,1739509,1261087
1766493,1739746,1260280
1766555,1739780,1260966
1766631,1740131,1260357
1766707,1739962,1260230
1766740,1739933,1259432
1766930,1740195,1259617
1767094,1740202,1259508
1767489,1740401,1259965
1767694,1740487,1259443
1767862,1739958,1260284
1767712,1740040,1260026
1767590,1739642,1260577
1767716,1739878,1259958
1767632,1739940,1259630
1767338,1739941,1260097
1767338,1739661,1259871
1767506,1739545,1259866
1767649,1739163,1259925
1767537,1739478,1260950
1767672,1739049,1261304
1767580,1739222,1261467
1767943,1739644,1261311
1767606,1739131,1261655
1767611,1739390,1261801
1767544,1738749,1262356
1767260,1738418,1262718
1766791,1737647,1262961
1766592,1737475,1262650
1766272,1737018,1262715
1766225,1736972,1263032
1766236,1736837,1263198
1766240,1737003,1263533
1765754,1736502,1264250
1765780,1736721,1264160
1765590,1736577,1263972
1765090,1737140,1263769
1764827,1737144,1264676
1764827,1736903,1264391
1764778,1736869,1264891
1764698,1736924,1265151
1764568,1736471,1264916
1764486,1736459,1265252
1764171,1735761,1265378
1764045,1736087,1265072
1763809,1736046,1265549
1763659,1736336,1266177
1763483,1736085,1265596
1763526,1736484,1265841
1763321,1736084,1266051
1763287,1736238,1267398
1762870,1735508,1266527
1763006,1735797,1265976
1762938,1735618,1265702
1763221,1735653,1265088
1763085,1735471,1264670
1763066,1736009,1263428
1762795,1736141,1262620
1762719,1736693,1261703
1762919,1736708,1260875
1763023,1737664,1260237
1762376,1737912,1259891
1762370,1738052,1259434
1762370,1737634,1259524
1762572,1738071,1258820
1762650,1737956,1258840
1762525,1738021,1258263
1762645,1737859,1258832
1762578,1738215,1258820
1762627,1738742,1259297
1762425,1738610,1259376
1762705,1738658,1259719
1762630,1738197,1259259
1762533,1737546,1259558
1762420,1737009,1258981
1762656,1737015,1259618
1762605,1737014,1260102
1762783,1737475,1260446
1762456,1737713,1259780
1763138,1738527,1259327
1762996,1738009,1259871
1763181,1738151,1260160
1763021,1738439,1260031
1762707,1738715,1260156
1762661,1738488,1259127
1762815,1738903,1259679
1762724,1738789,1259232
1763107,1738864,1259260
1763048,1738623,1259522
1763079,1738682,1259922
1762826,1738677,1260131
1763038,1738842,1259635
1763100,1738471,1260351
1763571,1738928,1259810
1763464,1738605,1260882
1763725,1738585,1260265
1763503,1738466,1260814
1763609,1738663,1260778
1763770,1738833,1261209
1763629,1738960,1261160
1763629,1739029,1261691
1763574,1738965,1260976
1763683,1738708,1261595
1763627,1739064,1261021
1763968,1739106,1262476
1764236,1739397,1262147
1763877,1739439,1262011
1763706,1739236,1262706
1763680,1739150,1262650
1763906,1738958,1262928
1763487,1738150,1262932
1763624,1738045,1263648
1763219,1737522,1263638
1762955,1736953,1264331
1762752,1736916,1264560
1762901,1737142,1264254
1763045,1737093,1264823
1762992,1736873,1264541
1762713,1736712,1264599
1762540,1736252,1265067
1762633,1736203,1265348
1762670,1736241,1265316
