GREEN,RED,IR
1344673,1817397,1649632
1344817,1817440,1649837
1344670,1817713,1649900
1344720,1817505,1649253
1344990,1817256,1649414
1344961,1817511,1649237
1345195,1817576,1650182
1345128,1818897,1650166
1345116,1818659,1649247
1345411,1818058,1649662
1345895,1818151,1650316
1345831,1818130,1650151
1345685,1818415,1650419
1345376,1818084,1650241
1345303,1817733,1650483
1345467,1818280,1650323
1346029,1818075,1650593
1345748,1818048,1650155
1346228,1818376,1650820
1345996,1818466,1650535
1346481,1818696,1650105
1346789,1819589,1650855
1346760,1819730,1650899
1346718,1819972,1651346
1346997,1819993,1651336
1346642,1819998,1650946
1346684,1820228,1651253
1347051,1819890,1651606
1346899,1819791,1652060
1347080,1819433,1651687
1347020,1818786,1651824
1346930,1818902,1651334
1347280,1818193,1651211
1346973,1817722,1651581
1347286,1818208,1651356
1347513,1818146,1651117
1347690,1818345,1651638
1347591,1818648,1652645
1347120,1818794,1652777
1347167,1818511,1652334
1347450,1818334,1652182
1347448,1818318,1651606
1347347,1818460,1651589
1347370,1817922,1651837
1347301,1817756,1652427
1347351,1818013,1653255
1347569,1817989,1653516
1347988,1817984,1652873
1347873,1818112,1651991
1347829,1817825,1652332
1347844,1817968,1652397
1348122,1817815,1652166
1348291,1818052,1651164
1348117,1817636,1651144
1348111,1817585,1650837
1348173,1817630,1651881
1348099,1818131,1651337
1347940,1818378,1650631
1348017,1818454,1650863
1347937,1818151,1650425
1348330,1818005,1650971
1348264,1817700,1652011
1348753,1817524,1651632
1348544,1817778,1651954
1348786,1817713,1651624
1349048,1817859,1651526
1349233,1818135,1651944
1349204,1817538,1651538
1349229,1817852,1651371
1349396,1817886,1651765
1349160,1818575,1652402
1349076,1818791,1652564
1349000,1818783,1652424
1349127,1818714,1653468
1349380,1818581,1653563
1349246,1818746,1653488
1349341,1818374,1653187
1349258,1818290,1653352
1349687,1818502,1653072
1349764,1819140,1652844
1349797,1818901,1652718
1350163,1818289,1653274
1350201,1818609,1653216
1350150,1817995,1653770
1349929,1817500,1652667
1349887,1817808,1653249
1350332,1817510,1652501
1349900,1816904,1652878
1349924,1816564,1652639
1349863,1815961,1653103
1350322,1816548,1652554
1350183,1816020,1652232
1350314,1815827,1651822
1350463,1816171,1652303
1350507,1816050,1652511
1350469,1816061,1652685
1350635,1816071,1653171
1350422,1816352,1652700
1350268,1816255,1652698
