GREEN,RED,IR
1407606,1436341,1855430
1407452,1435885,1855236
1407221,1435824,1854559
1407141,1436117,1854259
1406750,1436236,1856167
1406696,1436158,1854503
1406634,1436069,1854975
1406452,1436050,1854042
1406453,1435928,1853050
1406190,1435799,1854257
1406046,1435434,1853432
1405884,1435494,1854427
1405951,1435622,1854735
1406022,1435929,1856561
1406073,1436092,1854802
1406084,1436198,1854090
1405909,1435906,1853772
1405929,1435973,1854004
1405389,1436061,1855084
1405494,1436313,1855400
1405598,1436287,1854900
1405664,1436452,1854381
1405467,1436783,1853734
1405498,1437013,1854341
1405331,1437125,1854703
1405412,1437353,1854051
1405308,1437482,1853796
1405532,1438063,1854166
1405356,1437993,1855009
1405523,1437469,1853819
1405374,1437188,1854506
1405544,1437000,1853687
1405458,1436923,1855186
1405831,1436569,1854475
1405783,1436362,1854359
1405588,1436114,1854208
1405458,1436220,1853829
1405662,1437379,1852588
1405459,1437655,1853519
1405706,1437186,1853313
1405706,1436517,1853192
1405422,1436210,1852765
1405579,1436682,1852401
1405520,1437120,1853639
1405617,1437527,1854810
1405333,1437266,1853994
1405519,1437214,1852607
1405672,1437854,1853542
1405815,1437766,1852651
1405649,1437818,1853538
1405762,1437671,1851960
1405577,1438068,1851453
1406207,1438467,1852837
1406137,1438221,1853469
1405905,1438131,1852505
1405948,1438090,1852775
1405967,1437647,1852194
1405469,1437351,1852570
1405539,1437028,1851876
1405147,1437268,1851444
1404933,1436835,1851664
1404813,1436988,1852511
1404656,1436626,1853625
1404492,1436426,1851456
1404453,1436363,1851442
1404915,1436069,1852535
1404122,1435868,1852228
1404117,1435941,1852500
1403776,1436087,1852249
1403773,1436000,1851237
1404015,1435914,1851355
1403580,1435875,1853079
1403244,1436174,1854059
1403457,1435703,1853561
1403457,1435578,1853194
1403534,1435730,1854241
1402808,1435259,1852869
1402808,1434569,1853733
1402802,1433700,1854321
1402457,1431490,1853047
1402329,1428749,1852336
1402562,1425871,1851836
1402143,1423806,1853510
1402564,1415765,1850123
1402945,1411407,1850075
1403257,1407034,1850661
1403372,1403026,1851245
1403416,1399298,1851611
1403591,1395939,1851698
1403493,1393199,1851344
1403798,1390355,1851424
1404098,1387529,1852034
1404614,1384411,1852090
1404972,1378873,1852805
1405329,1370944,1852205
1406149,1360589,1852307
1406514,1346177,1850846
1406997,1319869,1851733
1407168,1294178,1851871
1407244,1277756,1852543
1407244,1270737,1852010
1407640,1268286,1851059
1407915,1261749,1851036
1408218,1249877,1850270
1408416,1234511,1849565
1408640,1218724,1849190
1409286,1211097,1850491
1409149,1211593,1850303
1408984,1212735,1849870
1409048,1211813,1850556
1408955,1207032,1852256
1408743,1199819,1850881
1408854,1193763,1851178
1408717,1187723,1850660
1408758,1183424,1852545
1408381,1183145,1850986
1408233,1186349,1851242
1407905,1191914,1850525
1407310,1197750,1850213
1406946,1204687,1850249
1406511,1210950,1850317
1405610,1217057,1851057
1405610,1222075,1850097
1404981,1227143,1850709
1404271,1232704,1853186
1403879,1238475,1851253
1403134,1243871,1848646
1402203,1249089,1849902
1401300,1254514,1850426
1399166,1264454,1850510
1398231,1268589,1850458
1397367,1273538,1851079
1397000,1277755,1850199
1396045,1281073,1848813
1395505,1283265,1849358
1395040,1285841,1848875
1394523,1287835,1849265
1394422,1289894,1851720
1394285,1291617,1850234
1393719,1294115,1851397
1393434,1295512,1851150
1392880,1297792,1850930
1392773,1300094,1850534
1392152,1303654,1850779
1391598,1306278,1851368
1391598,1308677,1851107
1391233,1310533,1851095
1390966,1312109,1851685
1390828,1313437,1851926
1390753,1314922,1851166
1390640,1315072,1851976
1390367,1316104,1850746
1390015,1318758,1851473
1390003,1320835,1850965
1389831,1322763,1851089
1389580,1324710,1850716
1389489,1326582,1851397
1389232,1327757,1851909
1389148,1329239,1851726
1389206,1330323,1850881
1389427,1331474,1850876
1389466,1332244,1851606
1389395,1333112,1851632
1389328,1333516,1850498
1388880,1334656,1851698
1388941,1335834,1851946
1388875,1337487,1852761
1388454,1339181,1852519
1388454,1340549,1852805
1388327,1341768,1854842
1388549,1342994,1854096
1388445,1344356,1854729
1388479,1345294,1853570
1388475,1345566,1852807
1388304,1346464,1853275
1388550,1347591,1853608
1388489,1348276,1852654
1388369,1349790,1853691
1388287,1352831,1853007
1387856,1357510,1853010
1387676,1362105,1853773
1387253,1367408,1854030
1386903,1372093,1855006
1386729,1376612,1854885
1386741,1380362,1854889
1386550,1383063,1854484
1386980,1385156,1854925
1386818,1386485,1855917
1386910,1387049,1856147
1387077,1387869,1855149
1387274,1388798,1855880
1387629,1389627,1855984
1388021,1389460,1855838
1387850,1389985,1857757
1388002,1390316,1858153
1388146,1391134,1856667
1388077,1391539,1858188
1388292,1392040,1858110
1388587,1392586,1857504
1388634,1392995,1858383
1388727,1393366,1858195
1388919,1393340,1858722
1388958,1393183,1860663
1389061,1393642,1859950
1389291,1393523,1859834
1389633,1393770,1860168
1389819,1393789,1861086
1389990,1393941,1860316
1390178,1394000,1860466
1390260,1394433,1862471
1390627,1394118,1862343
1390766,1394404,1861917
1390729,1394683,1862136
1390729,1394795,1863018
1390624,1394706,1862603
1390967,1394796,1864425
1391116,1394152,1861999
1391320,1393775,1862962
1391221,1393101,1864378
1391115,1393054,1864499
1390998,1393873,1862767
1390861,1395047,1864343
1390506,1395965,1864018
1390234,1397347,1865263
1390093,1398098,1864912
1389881,1398940,1864085
1389814,1399991,1864398
1389837,1401370,1865319
1389758,1403308,1864450
1389740,1405017,1866061
1389601,1406987,1866323
1389512,1408925,1866260
1389894,1413288,1865466
1390090,1414754,1864114
1390279,1415186,1865379
1390301,1415244,1865180
1390394,1415012,1865594
1390714,1414959,1863819
1390590,1414299,1863686
1390180,1413944,1863570
1390354,1413517,1863817
1390798,1413454,1863794
1390748,1413447,1865726
1390809,1413879,1864100
1390644,1413694,1864447
1390624,1413928,1865375
1390734,1415307,1864101
1391149,1416882,1865210
1391299,1419310,1863182
1391221,1422362,1864592
1391508,1422741,1865933
1391695,1423119,1865451
1391810,1423304,1867573
1391943,1423896,1867878
1391779,1423909,1870281
1392025,1423743,1869814
1392249,1423627,1871008
