GREEN,RED,IR
1632904,1121400,1599819
1633196,1122154,1597678
1633159,1122173,1594071
1632863,1122354,1590995
1632595,1122717,1587514
1632780,1123543,1584455
1632641,1124697,1582582
1632686,1125780,1582575
1632690,1126096,1583201
1632681,1124971,1585822
1632297,1123117,1587661
1632261,1123770,1589659
1632350,1125787,1589697
1632032,1125355,1588241
1632011,1123628,1585347
1632266,1122881,1584419
1632334,1123818,1582806
1632162,1125058,1581205
1631824,1126253,1579891
1632032,1127624,1578274
1631828,1127573,1577305
1632078,1126270,1575698
1632185,1124542,1574449
1631792,1122030,1573965
1631720,1120229,1574787
1631780,1118925,1574210
1631615,1118617,1576055
1631957,1122154,1576228
1631786,1119951,1577698
1631851,1117556,1578290
1631948,1118263,1579965
1632201,1118882,1579826
1631842,1120147,1582463
1632142,1121284,1584224
1631783,1122209,1586991
1631646,1122846,1589749
1631789,1121357,1593222
1631535,1120804,1595488
1631173,1123219,1598096
1631062,1127667,1599735
1630618,1132746,1601153
1630769,1136098,1601800
1630417,1135037,1602181
1630493,1134648,1603301
1630352,1133839,1604296
1630391,1133721,1605528
1630111,1134819,1605249
1629929,1136005,1604814
1630349,1137100,1602553
1630143,1138177,1600627
1630047,1139422,1597645
1629684,1140819,1594790
1629184,1141709,1591766
1629529,1141918,1588299
1629527,1141864,1584319
1629631,1141625,1581785
1629417,1141066,1581547
1629085,1141374,1582229
1628624,1144831,1581422
1628857,1147172,1581907
1628759,1149079,1582175
1628700,1150538,1582151
1628434,1149705,1583367
1627943,1148465,1584039
1628372,1145675,1585330
1628326,1143839,1584990
1628295,1141328,1585601
1627994,1142892,1585062
1628326,1141015,1585524
1628279,1133151,1585853
1627843,1127065,1585840
1627924,1125632,1585445
1628008,1124250,1586568
1627998,1124317,1588037
1627796,1124968,1590307
1627906,1128332,1592560
1627855,1130296,1594619
1628026,1131105,1595811
1627568,1126292,1597572
1627405,1127061,1598749
1626642,1130159,1599376
1625986,1133607,1600370
1626186,1135413,1601994
1626118,1136782,1602416
1625883,1138753,1602625
1625956,1140396,1602898
1625428,1141387,1603411
1625546,1141415,1604779
1625267,1141327,1605747
1625350,1143441,1608363
1625051,1146101,1610505
1624961,1143466,1612436
1624793,1139790,1614621
1624853,1142052,1616165
1624471,1143155,1617888
1624572,1144015,1618903
1624255,1145295,1620065
1624166,1147124,1620194
1623829,1148432,1620285
1623835,1149685,1620545
1623261,1150921,1620847
1623161,1151897,1620918
1623049,1152679,1619485
1623061,1153195,1619327
1622555,1153513,1618490
1622484,1153333,1616765
1622379,1153346,1615082
1622360,1153370,1615492
1622245,1153479,1615455
1622646,1153994,1614925
1622267,1154758,1615330
1622088,1157482,1614780
1621898,1157439,1614974
1621714,1154082,1616238
1621576,1153641,1616068
1621908,1152827,1616166
1621513,1152646,1616617
1621503,1152675,1616267
1621385,1152469,1616343
1621344,1153027,1616629
1621199,1154403,1615660
1621212,1158481,1615250
1621220,1161416,1615594
1621367,1159800,1614342
1621204,1159507,1612041
1620979,1161069,1609233
1620994,1161158,1603764
1621004,1160873,1599788
1620786,1160992,1593950
1620834,1160595,1585715
1619789,1160166,1583073
1619605,1158740,1580542
1619461,1156977,1579579
1619092,1155760,1579393
1618653,1154836,1578269
1618608,1155014,1577756
1618129,1156394,1577449
1618161,1159323,1574685
1617811,1164106,1573311
1617525,1169672,1571547
1617828,1175771,1570957
1617735,1182014,1569463
1617347,1186498,1569699
1617506,1189210,1569423
1617015,1190328,1570727
1616906,1189882,1570594
1616748,1189344,1572036
1616741,1188085,1571750
1616741,1186887,1573299
1616466,1185938,1574286
1616481,1186588,1577635
1616941,1186506,1579492
1616264,1185579,1580412
1616077,1182991,1581375
1616151,1180251,1581869
1616128,1177312,1582758
1616126,1175050,1583272
1615975,1173665,1584362
1615723,1172512,1585166
1615856,1171816,1584965
1615787,1171600,1584119
1615883,1171421,1585040
1615981,1171443,1583836
1616035,1171325,1584910
1616242,1171111,1582861
1615938,1170953,1582313
1615689,1170288,1582308
1615583,1169010,1582493
1615456,1167882,1582017
1615241,1166876,1581308
1615241,1166191,1580809
1615196,1165498,1582674
1615476,1164851,1582724
1615466,1164106,1584401
1615183,1163484,1586120
1615414,1162943,1587350
1615448,1161097,1588621
1615309,1160311,1588016
1615506,1158784,1588335
1615351,1157452,1587600
1615268,1154906,1588825
1614798,1152282,1586212
1615198,1150402,1586598
1615081,1149661,1586288
1615126,1149071,1584665
1615389,1149139,1581736
1615559,1149640,1578939
1615520,1150346,1574684
1615414,1150484,1572697
1615351,1151109,1571446
1615420,1151116,1571979
1615132,1151314,1571897
1615092,1150246,1574473
1615092,1149060,1578074
1614941,1148225,1581786
1615163,1147479,1590400
1615055,1146959,1594799
1615038,1146899,1601438
1614944,1147944,1607046
1615114,1152100,1614231
1615414,1152510,1617659
1615151,1151988,1620153
1615429,1150854,1620192
1615058,1149889,1619685
1614865,1149851,1618158
1614529,1151290,1620389
1613826,1147102,1621211
1613408,1144347,1623218
1613409,1145207,1623682
1613258,1146319,1626675
1613221,1147563,1627320
1613163,1148038,1629421
1613125,1148505,1630090
1612583,1148152,1629303
1612898,1146123,1625716
1612665,1145543,1623217
1612521,1145313,1620208
1612353,1144793,1617363
1612294,1144970,1618333
1612038,1148103,1617599
1612510,1150409,1618669
1612395,1155265,1618416
1611844,1158005,1619750
1611940,1157030,1619041
1612017,1153912,1619570
1611589,1150126,1618277
1611615,1143167,1618026
1611503,1140552,1617446
1611606,1138385,1617647
1610917,1138922,1617841
1611146,1140374,1618808
1610983,1141586,1617535
1610972,1143227,1618754
1610776,1144698,1619956
1611051,1138590,1620243
1610934,1135319,1620377
1611201,1142066,1621846
1611054,1147526,1622834
1611057,1153404,1625541
1610850,1159061,1629844
1611050,1163275,1631470
1610586,1166777,1633436
1610675,1169475,1633516
1610584,1172282,1633994
1610726,1174357,1633173
1610391,1177309,1633214
1610480,1180040,1632629
1610076,1181844,1635101
1610153,1182994,1635487
1610052,1183204,1638659
1609999,1182894,1639689
1609852,1182798,1642363
1610041,1184451,1644409
1609694,1176672,1646911
1609543,1168622,1648450
1609743,1168918,1651250
1609956,1170023,1651454
1609458,1173417,1651856
1609240,1175276,1650494
1609278,1174343,1650559
1608960,1171281,1648520
1608951,1167703,1648297
1608770,1164951,1649752
1608367,1159561,1650166
1607621,1162771,1652182
1607792,1166858,1652915
1607192,1171718,1654803
1606985,1180085,1655245
1606704,1181521,1654882
1606798,1181970,1655423
1606593,1182429,1655799
1606695,1183190,1656173
1605931,1184332,1655621
1605857,1185495,1655775
1605743,1186257,1654793
1605591,1187170,1653387
1605164,1187757,1653046
1605144,1188697,1652601
1604353,1189902,1655331
1603257,1197508,1659913
1603088,1204741,1666669
1602804,1202568,1675580
1602158,1200221,1683643
1602522,1200871,1690690
1602133,1202026,1700149
1602180,1203751,1702038
1601920,1205773,1702280
1601632,1207352,1701081
1601378,1207645,1700373
1601551,1206434,1702025
1601582,1204741,1702730
1601482,1203010,1705001
1601359,1201834,1707656
1601359,1202057,1709543
1600759,1208794,1709950
1601386,1217161,1710372
1601055,1215089,1709052
1601225,1210336,1709236
1601279,1209089,1708081
1601250,1207628,1708898
1601187,1205337,1709302
1600870,1204981,1709939
1601492,1206226,1709885
1601263,1208087,1711505
1600975,1209999,1713245
1601026,1211793,1715921
1600525,1214073,1717334
1600360,1222203,1718764
1599921,1230989,1719053
1599136,1240316,1719565
1597874,1251627,1719012
1597729,1255393,1718458
1597123,1259291,1718677
1597069,1263190,1717923
1596881,1267184,1718700
1596534,1270835,1718907
1596015,1274600,1719851
1595924,1277679,1719900
1595543,1280132,1720636
1595622,1282070,1720315
1595377,1283189,1719794
1595291,1283633,1719231
1594847,1284187,1718270
1594877,1284738,1717004
1594938,1285524,1716316
1595147,1286108,1716117
1594877,1286451,1716497
1594616,1286404,1717574
