Initializing AFE4404...
Initialized Success!
PD4:1632904, PD2:1121400
PD4:1633196, PD2:1122154
PD4:1633159, PD2:1122173
PD4:1632863, PD2:1122354
PD4:1632595, PD2:1122717
PD4:1632780, PD2:1123543
PD4:1632641, PD2:1124697
PD4:1632686, PD2:1125780
PD4:1632690, PD2:1126096
PD4:1632681, PD2:1124971
PD4:1632297, PD2:1123117
PD4:1632261, PD2:1123770
PD4:1632350, PD2:1125787
PD4:1632032, PD2:1125355
PD4:1632011, PD2:1123628
PD4:1632266, PD2:1122881
PD4:1632334, PD2:1123818
PD4:1632162, PD2:1125058
PD4:1631824, PD2:1126253
PD4:1632032, PD2:1127624
PD4:1631828, PD2:1127573
PD4:1632078, PD2:1126270
PD4:1632185, PD2:1124542
PD4:1631792, PD2:1122030
PD4:1631720, PD2:1120229
PD4:1631780, PD2:1118925
PD4:1631615, PD2:1118617
PD4:1631957, PD2:1122154
PD4:1631786, PD2:1119951
PD4:1631851, PD2:1117556
PD4:1631948, PD2:1118263
PD4:1632201, PD2:1118882
PD4:1631842, PD2:1120147
PD4:1632142, PD2:1121284
PD4:1631783, PD2:1122209
PD4:1631646, PD2:1122846
PD4:1631789, PD2:1121357
PD4:1631535, PD2:1120804
PD4:1631173, PD2:1123219
PD4:1631062, PD2:1127667
PD4:1630618, PD2:1132746
PD4:1630769, PD2:1136098
PD4:1630417, PD2:1135037
PD4:1630493, PD2:1134648
PD4:1630352, PD2:1133839
PD4:1630391, PD2:1133721
PD4:1630111, PD2:1134819
PD4:1629929, PD2:1136005
PD4:1630349, PD2:1137100
PD4:1630143, PD2:1138177
PD4:1630047, PD2:1139422
PD4:1629684, PD2:1140819
PD4:1629184, PD2:1141709
PD4:1629529, PD2:1141918
PD4:1629527, PD2:1141864
PD4:1629631, PD2:1141625
PD4:1629417, PD2:1141066
PD4:1629085, PD2:1141374
PD4:1628624, PD2:1144831
PD4:1628857, PD2:1147172
PD4:1628759, PD2:1149079
PD4:1628700, PD2:1150538
PD4:1628434, PD2:1149705
PD4:1627943, PD2:1148465
PD4:1628372, PD2:1145675
PD4:1628326, PD2:1143839
PD4:1628295, PD2:1141328
PD4:1627994, PD2:1142892
PD4:1628326, PD2:1141015
PD4:1628279, PD2:1133151
PD4:1627843, PD2:1127065
PD4:1627924, PD2:1125632
PD4:1628008, PD2:1124250
PD4:1627998, PD2:1124317
PD4:1627796, PD2:1124968
PD4:1627906, PD2:1128332
PD4:1627855, PD2:1130296
PD4:1628026, PD2:1131105
PD4:1627568, PD2:1126292
PD4:1627405, PD2:1127061
PD4:1626642, PD2:1130159
PD4:1625986, PD2:1133607
PD4:1626186, PD2:1135413
PD4:1626118, PD2:1136782
PD4:1625883, PD2:1138753
PD4:1625956, PD2:1140396
PD4:1625428, PD2:1141387
PD4:1625546, PD2:1141415
PD4:1625267, PD2:1141327
PD4:1625350, PD2:1143441
PD4:1625051, PD2:1146101
PD4:1624961, PD2:1143466
PD4:1624793, PD2:1139790
PD4:1624853, PD2:1142052
PD4:1624471, PD2:1143155
PD4:1624572, PD2:1144015
PD4:1624255, PD2:1145295
PD4:1624166, PD2:1147124
PD4:1623829, PD2:1148432
PD4:1623835, PD2:1149685
PD4:1623261, PD2:1150921
PD4:1623161, PD2:1151897
PD4:1623049, PD2:1152679
PD4:1623061, PD2:1153195
PD4:1622555, PD2:1153513
PD4:1622484, PD2:1153333
PD4:1622379, PD2:1153346
PD4:1622360, PD2:1153370
PD4:1622245, PD2:1153479
PD4:1622646, PD2:1153994
PD4:1622267, PD2:1154758
PD4:1622088, PD2:1157482
PD4:1621898, PD2:1157439
PD4:1621714, PD2:1154082
PD4:1621576, PD2:1153641
PD4:1621908, PD2:1152827
PD4:1621513, PD2:1152646
PD4:1621503, PD2:1152675
PD4:1621385, PD2:1152469
PD4:1621344, PD2:1153027
PD4:1621199, PD2:1154403
PD4:1621212, PD2:1158481
PD4:1621220, PD2:1161416
PD4:1621367, PD2:1159800
PD4:1621204, PD2:1159507
PD4:1620979, PD2:1161069
PD4:1620994, PD2:1161158
PD4:1621004, PD2:1160873
PD4:1620786, PD2:1160992
PD4:1620834, PD2:1160595
PD4:1619789, PD2:1160166
PD4:1619605, PD2:1158740
PD4:1619461, PD2:1156977
PD4:1619092, PD2:1155760
PD4:1618653, PD2:1154836
PD4:1618608, PD2:1155014
PD4:1618129, PD2:1156394
PD4:1618161, PD2:1159323
PD4:1617811, PD2:1164106
PD4:1617525, PD2:1169672
PD4:1617828, PD2:1175771
PD4:1617735, PD2:1182014
PD4:1617347, PD2:1186498
PD4:1617506, PD2:1189210
PD4:1617015, PD2:1190328
PD4:1616906, PD2:1189882
PD4:1616748, PD2:1189344
PD4:1616741, PD2:1188085
PD4:1616741, PD2:1186887
PD4:1616466, PD2:1185938
PD4:1616481, PD2:1186588
PD4:1616941, PD2:1186506
PD4:1616264, PD2:1185579
PD4:1616077, PD2:1182991
PD4:1616151, PD2:1180251
PD4:1616128, PD2:1177312
PD4:1616126, PD2:1175050
PD4:1615975, PD2:1173665
PD4:1615723, PD2:1172512
PD4:1615856, PD2:1171816
PD4:1615787, PD2:1171600
PD4:1615883, PD2:1171421
PD4:1615981, PD2:1171443
PD4:1616035, PD2:1171325
PD4:1616242, PD2:1171111
PD4:1615938, PD2:1170953
PD4:1615689, PD2:1170288
PD4:1615583, PD2:1169010
PD4:1615456, PD2:1167882
PD4:1615241, PD2:1166876
PD4:1615241, PD2:1166191
PD4:1615196, PD2:1165498
PD4:1615476, PD2:1164851
PD4:1615466, PD2:1164106
PD4:1615183, PD2:1163484
PD4:1615414, PD2:1162943
PD4:1615448, PD2:1161097
PD4:1615309, PD2:1160311
PD4:1615506, PD2:1158784
PD4:1615351, PD2:1157452
PD4:1615268, PD2:1154906
PD4:1614798, PD2:1152282
PD4:1615198, PD2:1150402
PD4:1615081, PD2:1149661
PD4:1615126, PD2:1149071
PD4:1615389, PD2:1149139
PD4:1615559, PD2:1149640
PD4:1615520, PD2:1150346
PD4:1615414, PD2:1150484
PD4:1615351, PD2:1151109
PD4:1615420, PD2:1151116
PD4:1615132, PD2:1151314
PD4:1615092, PD2:1150246
PD4:1615092, PD2:1149060
PD4:1614941, PD2:1148225
PD4:1615163, PD2:1147479
PD4:1615055, PD2:1146959
PD4:1615038, PD2:1146899
PD4:1614944, PD2:1147944
PD4:1615114, PD2:1152100
PD4:1615414, PD2:1152510
PD4:1615151, PD2:1151988
PD4:1615429, PD2:1150854
PD4:1615058, PD2:1149889
PD4:1614865, PD2:1149851
PD4:1614529, PD2:1151290
PD4:1613826, PD2:1147102
PD4:1613408, PD2:1144347
PD4:1613409, PD2:1145207
PD4:1613258, PD2:1146319
PD4:1613221, PD2:1147563
PD4:1613163, PD2:1148038
PD4:1613125, PD2:1148505
PD4:1612583, PD2:1148152
PD4:1612898, PD2:1146123
PD4:1612665, PD2:1145543
PD4:1612521, PD2:1145313
PD4:1612353, PD2:1144793
PD4:1612294, PD2:1144970
PD4:1612038, PD2:1148103
PD4:1612510, PD2:1150409
PD4:1612395, PD2:1155265
PD4:1611844, PD2:1158005
PD4:1611940, PD2:1157030
PD4:1612017, PD2:1153912
PD4:1611589, PD2:1150126
PD4:1611615, PD2:1143167
PD4:1611503, PD2:1140552
PD4:1611606, PD2:1138385
PD4:1610917, PD2:1138922
PD4:1611146, PD2:1140374
PD4:1610983, PD2:1141586
PD4:1610972, PD2:1143227
PD4:1610776, PD2:1144698
PD4:1611051, PD2:1138590
PD4:1610934, PD2:1135319
PD4:1611201, PD2:1142066
PD4:1611054, PD2:1147526
PD4:1611057, PD2:1153404
PD4:1610850, PD2:1159061
PD4:1611050, PD2:1163275
PD4:1610586, PD2:1166777
PD4:1610675, PD2:1169475
PD4:1610584, PD2:1172282
PD4:1610726, PD2:1174357
PD4:1610391, PD2:1177309
PD4:1610480, PD2:1180040
PD4:1610076, PD2:1181844
PD4:1610153, PD2:1182994
PD4:1610052, PD2:1183204
PD4:1609999, PD2:1182894
PD4:1609852, PD2:1182798
PD4:1610041, PD2:1184451
PD4:1609694, PD2:1176672
PD4:1609543, PD2:1168622
PD4:1609743, PD2:1168918
PD4:1609956, PD2:1170023
PD4:1609458, PD2:1173417
PD4:1609240, PD2:1175276
PD4:1609278, PD2:1174343
PD4:1608960, PD2:1171281
PD4:1608951, PD2:1167703
PD4:1608770, PD2:1164951
PD4:1608367, PD2:1159561
PD4:1607621, PD2:1162771
PD4:1607792, PD2:1166858
PD4:1607192, PD2:1171718
PD4:1606985, PD2:1180085
PD4:1606704, PD2:1181521
PD4:1606798, PD2:1181970
PD4:1606593, PD2:1182429
PD4:1606695, PD2:1183190
PD4:1605931, PD2:1184332
PD4:1605857, PD2:1185495
PD4:1605743, PD2:1186257
PD4:1605591, PD2:1187170
PD4:1605164, PD2:1187757
PD4:1605144, PD2:1188697
PD4:1604353, PD2:1189902
PD4:1603257, PD2:1197508
PD4:1603088, PD2:1204741
PD4:1602804, PD2:1202568
PD4:1602158, PD2:1200221
PD4:1602522, PD2:1200871
PD4:1602133, PD2:1202026
PD4:1602180, PD2:1203751
PD4:1601920, PD2:1205773
PD4:1601632, PD2:1207352
PD4:1601378, PD2:1207645
PD4:1601551, PD2:1206434
PD4:1601582, PD2:1204741
PD4:1601482, PD2:1203010
PD4:1601359, PD2:1201834
PD4:1601359, PD2:1202057
PD4:1600759, PD2:1208794
PD4:1601386, PD2:1217161
PD4:1601055, PD2:1215089
PD4:1601225, PD2:1210336
PD4:1601279, PD2:1209089
PD4:1601250, PD2:1207628
PD4:1601187, PD2:1205337
PD4:1600870, PD2:1204981
PD4:1601492, PD2:1206226
PD4:1601263, PD2:1208087
PD4:1600975, PD2:1209999
PD4:1601026, PD2:1211793
PD4:1600525, PD2:1214073
PD4:1600360, PD2:1222203
PD4:1599921, PD2:1230989
PD4:1599136, PD2:1240316
PD4:1597874, PD2:1251627
PD4:1597729, PD2:1255393
PD4:1597123, PD2:1259291
PD4:1597069, PD2:1263190
PD4:1596881, PD2:1267184
PD4:1596534, PD2:1270835
PD4:1596015, PD2:1274600
PD4:1595924, PD2:1277679
PD4:1595543, PD2:1280132
PD4:1595622, PD2:1282070
PD4:1595377, PD2:1283189
PD4:1595291, PD2:1283633
PD4:1594847, PD2:1284187
PD4:1594877, PD2:1284738
PD4:1594938, PD2:1285524
PD4:1595147, PD2:1286108
PD4:1594877, PD2:1286451
PD4:1594616, PD2:1286404
PD4:1594525, PD2:1286629
PD4:1594559, PD2:1286930
PD4:1594405, PD2:1287588
PD4:1593790, PD2:1288230
