GREEN,RED,IR
1741027,1443096,1634033
1741036,1443313,1633994
1741469,1443253,1634613
1741297,1443546,1635124
1740967,1443591,1634410
1741073,1443386,1635876
1741427,1443320,1635474
1741258,1443577,1635535
1740930,1443475,1635044
1741126,1443263,1635001
1740685,1443027,1635611
1740899,1443283,1636495
1741014,1443117,1636265
1741351,1443296,1636341
1741389,1443322,1635652
1741488,1443228,1637324
1741076,1443176,1637308
1741222,1443383,1636098
1741426,1443312,1636198
1741102,1443977,1637416
1740830,1443548,1635761
1740830,1443602,1636585
1740942,1443327,1636421
1740993,1443073,1637130
1741337,1443272,1636570
1741039,1442404,1636064
1740906,1441666,1637087
1740741,1441048,1637146
1740472,1440736,1637767
1740340,1440519,1637468
1740375,1440434,1636820
1740272,1440044,1636775
1739789,1439627,1637229
1739658,1439619,1637082
1739673,1440023,1638212
1739689,1439678,1637284
1739754,1439561,1637841
1739662,1439625,1637895
1739514,1439233,1638328
1739246,1439105,1637480
1739260,1439236,1637419
1739134,1439131,1637052
1739215,1439232,1637434
1739116,1439065,1638305
1739047,1439113,1637414
1739016,1439180,1637618
1738595,1439448,1637220
1738634,1439366,1637597
1738488,1439546,1637690
1738679,1439212,1637312
1738478,1439205,1637385
1738711,1438787,1637354
1738276,1438696,1637033
1738580,1438677,1636802
1738501,1438642,1637491
1738675,1438588,1637653
1738732,1438590,1637586
1738443,1438520,1637119
1738372,1438375,1636824
1738506,1438552,1636264
1738389,1438569,1636178
1738267,1438877,1636771
1738058,1439222,1635694
1738058,1438792,1635255
1738111,1438914,1635070
1738023,1438733,1634527
1738162,1438925,1635034
1738151,1438604,1635110
1738013,1438479,1634803
1738111,1438666,1634997
1738146,1438848,1634719
1738062,1438676,1634566
1738111,1438797,1634331
1738070,1439329,1635068
1738061,1438859,1634826
1737986,1438703,1635144
1738106,1438690,1635195
1738156,1438724,1636397
1738136,1438978,1635411
1738502,1438907,1635394
1738290,1438736,1636181
1738504,1438752,1635865
1738498,1438900,1635471
1738593,1439019,1636571
1738603,1439314,1637004
1738205,1439464,1636709
1738205,1439093,1635476
1738360,1439167,1635842
1738394,1439156,1635598
1738578,1439404,1635595
1738464,1439231,1635613
1738695,1439012,1635239
1738668,1439321,1635478
1738508,1438924,1635276
1738535,1439052,1635622
1738524,1438767,1635063
1738199,1438332,1635411
1738060,1437886,1635798
1737970,1437630,1635460
1738035,1437592,1635728
1738167,1437399,1635888
1738357,1437283,1634991
1737999,1437237,1636031
1737930,1437103,1635536
1737437,1437092,1636835
1737809,1437214,1635953
1737805,1437637,1636145
1737306,1437822,1635843
1737306,1437577,1636238
1737290,1437530,1635834
1737229,1437692,1636691
1737149,1437676,1635638
1737468,1437662,1635876
1737441,1437645,1635734
1737284,1438130,1635875
1737111,1438540,1636464
1737322,1438688,1635902
1737395,1439012,1637142
1737400,1438840,1637442
1737408,1438618,1636903
1737450,1438120,1636747
1737594,1438337,1636874
1737636,1438312,1636125
1738120,1438375,1636534
1738131,1438187,1636890
1737822,1438244,1636888
1738171,1438100,1636556
1737821,1438318,1637438
1738052,1438023,1636225
1737872,1438402,1637227
1737669,1438337,1636298
1737669,1438236,1636028
1737586,1438072,1634949
1737501,1438142,1635397
1737610,1438173,1635639
1737484,1437989,1635416
1737494,1437684,1637018
1737595,1437943,1635083
1737349,1438120,1635280
1737484,1438004,1635408
1737474,1438146,1635250
1737464,1438065,1634766
1737193,1437665,1635080
1737351,1437731,1635031
1737329,1437817,1635530
1737518,1437785,1634989
1737774,1437936,1634853
1737783,1437410,1634147
1737780,1437681,1634848
1738019,1437711,1634850
1737957,1437839,1634553
1737887,1438241,1634106
1737623,1438259,1635861
1737556,1438249,1635099
1737556,1437873,1634401
1737571,1438343,1633712
1737671,1438479,1634707
1737769,1438308,1634551
1737918,1438190,1634957
1737681,1438387,1635419
1737887,1438622,1634772
1737771,1438373,1634959
1737976,1438648,1635425
1737949,1438715,1635155
1738045,1438357,1635420
1737885,1438190,1635504
1738034,1438157,1634982
1738208,1438015,1634704
1738545,1437854,1634325
1738336,1437513,1635106
1738511,1436978,1635267
1738173,1436813,1635983
1738416,1436869,1635499
1738485,1436547,1635111
1738401,1436594,1634936
1738401,1436396,1635515
1737927,1436179,1635048
1738109,1436338,1635167
1737759,1436351,1635171
1738150,1436042,1635285
1738036,1435899,1635938
1737774,1436096,1635207
1737854,1436360,1635706
1738067,1436799,1635169
1738143,1436873,1635050
1738140,1436740,1634731
1737934,1436689,1635462
1738004,1436492,1635868
1737954,1436755,1636026
1738367,1436881,1635798
1738885,1437068,1636161
1738822,1437034,1635397
1738468,1437169,1635775
1738464,1437246,1635983
1738733,1437353,1635950
1738607,1437431,1635856
1738706,1437570,1636035
1738304,1437601,1636443
1738304,1437609,1637354
1738225,1437360,1636385
1738420,1437631,1635887
1738372,1437436,1635723
1738405,1437670,1635357
1738210,1437902,1634975
1738632,1437783,1634300
1737921,1438034,1634300
1738269,1438228,1633770
1738414,1438334,1633487
1738541,1438467,1633181
1738404,1438140,1634174
1738433,1438244,1634061
1738930,1438244,1634303
1739133,1438528,1633235
1738981,1438603,1634054
1738843,1438457,1634357
1738828,1438426,1634571
1738958,1438658,1634453
1738930,1438599,1635214
1738856,1439063,1634702
1738692,1439034,1634082
1738692,1438480,1634796
1738916,1438752,1634884
1738350,1439150,1634076
1739051,1439163,1634632
1739138,1439103,1634899
1739097,1438888,1634619
1739586,1439047,1634425
1739386,1439241,1634626
1739253,1439361,1635113
1739344,1439623,1634934
1739219,1439434,1634779
1739208,1439386,1635127
1739296,1439242,1634273
1739515,1439604,1634992
1739580,1439605,1634949
1740016,1439653,1634706
1739935,1439662,1634540
1739833,1439223,1635852
1739630,1439191,1636253
1739860,1439574,1636915
1739880,1439365,1636648
1739513,1438976,1636542
1739513,1438599,1636003
1739201,1438489,1636024
1739546,1438507,1636349
1739507,1438525,1636072
1739704,1438309,1636090
1739591,1438040,1635975
1739390,1438230,1635961
1739550,1438456,1637412
1739610,1438541,1636650
1739638,1438576,1636853
1739818,1438735,1635899
1739716,1438769,1637207
1739569,1439001,1636877
1739615,1439117,1637314
1739733,1439214,1636470
1739582,1439371,1635944
1740077,1439265,1635865
1739827,1439347,1636466
1739864,1439585,1636160
1740090,1439752,1636741
1740200,1439627,1637220
1740383,1440029,1636276
1739816,1441675,1637516
1739816,1440409,1637711
1739837,1439917,1638192
1739901,1439917,1638690
1739965,1439908,1637262
1739957,1439731,1637113
1740137,1439552,1637216
1740290,1439969,1637531
1740096,1440151,1636980
1740343,1440351,1637442
1740435,1440417,1636299
1740342,1440251,1636104
1740327,1440059,1636512
1740080,1440280,1636286
1740300,1440402,1635562
1740472,1440420,1635379
1740874,1440372,1635134
1740823,1440662,1635666
1740626,1440460,1635344
1740413,1440733,1635520
1740909,1440883,1635890
1741060,1441182,1635731
1740722,1441382,1635332
1740551,1441132,1636729
1740551,1440776,1635743
1740612,1441210,1635885
1740822,1441437,1635287
1741059,1441770,1635150
1740764,1441428,1634573
1740743,1441477,1635417
1740888,1441713,1634938
1741027,1442011,1634798
1741015,1442156,1635709
1741022,1442198,1635525
1741208,1442042,1635495
1741266,1441723,1635397
1741133,1441748,1636055
1741191,1441951,1635636
1741568,1442148,1636026
1741641,1441991,1635568
1741559,1442114,1635734
1741764,1442027,1635773
1741579,1442267,1636711
1741640,1442061,1635837
1741379,1442346,1636032
1741121,1442335,1635839
1741121,1442063,1636593
1741159,1441914,1636471
1741309,1441737,1637191
1741173,1441608,1637028
1741465,1441250,1638082
1741344,1440882,1637358
1741303,1441289,1637411
1741138,1441683,1637904
1741264,1441513,1637554
1741315,1441888,1637870
1741366,1441771,1637273
1741055,1441597,1638253
1741247,1441886,1638029
1741314,1442168,1637660
1741534,1442179,1637983
1742022,1442152,1638404
1742100,1442456,1638161
1742119,1442365,1638446
1741828,1442647,1638256
1741702,1442789,1638397
1742039,1442822,1637556
1741785,1443166,1638158
1741785,1443108,1637072
1741660,1443351,1638975
1741669,1443177,1639079
1741774,1443303,1638566
1741755,1443028,1637512
1742077,1442783,1637462
1741862,1442658,1637360
1741964,1442746,1637609
1741942,1442800,1638205
1742248,1442978,1637720
1742059,1443135,1638345
1742066,1443036,1638020
1741906,1442856,1637745
1742151,1443014,1637649
1742099,1443001,1638208
1742498,1443086,1637902
1742480,1443124,1637127
1742248,1443216,1636619
1742483,1443318,1636873
1742567,1443658,1636080
1742769,1443779,1636571
1742484,1443907,1636358
1742135,1444036,1635920
1742135,1444063,1635470
1742346,1444239,1636302
1742321,1444423,1635869
1742398,1444344,1636240
1742341,1444137,1635581
1742431,1444182,1634720
1742275,1444506,1635487
1742493,1444639,1635110
1742408,1444745,1635427
1742703,1444775,1635123
1742745,1444784,1635292
1742753,1444760,1636157
1742579,1444865,1636044
1742587,1444721,1635031
1742836,1444962,1635766
1743068,1445169,1635510
1743098,1445085,1635785
1743122,1445012,1635453
1743082,1445151,1635671
1742864,1445283,1635280
1742990,1445118,1635803
1742766,1444402,1635238
1742907,1444530,1636524
1743091,1444345,1635345
1742582,1444492,1636587
1742700,1444528,1636161
1742705,1444560,1635198
1742805,1444478,1634804
1742807,1444704,1636113
1742987,1444825,1634389
1742828,1444668,1635704
1742675,1444588,1635393
1742610,1444903,1636044
1742825,1445146,1635972
1743096,1445098,1636324
1743005,1445049,1635929
1743082,1445133,1636196
1743240,1445216,1636163
1743216,1445632,1636246
1743134,1445877,1636172
1743000,1446311,1636358
1742759,1446393,1637199
1742759,1445820,1637531
1742926,1445936,1637087
1742892,1446063,1636165
1743047,1446026,1636014
1743162,1445797,1636418
1742925,1445725,1637276
1743028,1445842,1636749
1742954,1445965,1637046
1742910,1445762,1636421
1743111,1445950,1636928
1743064,1445876,1636645
1742886,1445761,1636476
1742792,1445651,1637199
1742968,1445916,1636447
1743206,1445999,1636794
1743448,1446349,1636914
1743491,1446367,1637280
1743465,1446298,1636874
1743440,1446494,1637695
1743438,1446519,1637024
1743482,1446853,1637106
1743036,1446838,1637196
1743036,1446839,1636977
1743188,1446971,1636132
1743255,1447015,1635544
1743100,1447148,1635930
1743249,1447205,1635253
1743315,1447050,1635396
1743238,1447167,1634943
1743360,1447383,1634114
1743308,1447969,1633620
1743333,1447938,1633833
1743274,1448026,1633924
1743489,1447785,1633576
1743147,1447675,1633640
1743434,1448107,1633227
1743278,1448034,1632467
1743649,1448138,1633352
1743615,1448073,1633105
1743643,1448026,1632865
1743465,1447827,1632844
1743383,1447909,1632757
1743151,1447404,1632819
1743159,1447594,1633089
1742823,1447551,1634036
1742823,1447436,1634433
1743204,1447186,1634160
1743089,1447180,1633862
1743417,1447197,1634751
1742873,1446953,1633744
1743143,1446624,1634329
1742958,1446841,1634610
1742977,1446991,1634607
1742849,1447161,1634417
1743149,1447784,1635122
1743003,1447961,1634193
1743337,1448384,1635050
1742502,1448617,1635197
1743187,1448842,1634795
1743253,1448757,1635548
1743374,1448256,1635748
1743732,1448269,1635117
1743495,1448249,1634322
1743321,1448789,1635085
1742778,1448881,1635597
1742701,1448917,1635255
1742730,1448857,1634746
1742964,1448940,1636233
1742903,1448748,1634817
1742818,1448749,1635294
1742679,1448527,1635048
1742632,1448482,1635512
1742903,1448661,1635782
1743002,1449066,1636344
1743194,1449550,1634919
1743131,1449372,1635173
1743157,1449119,1635128
1742793,1449699,1635497
1742392,1449409,1635999
1742445,1449920,1636738
1743063,1449579,1636738
1742819,1449869,1636974
1742615,1449905,1636819
1742748,1449923,1636925
1742751,1449915,1636553
1742693,1449929,1636496
1742872,1449579,1636979
1742355,1449181,1636831
1742702,1448975,1637154
1742652,1448877,1637814
1742905,1448960,1638421
1743194,1448619,1637466
1743201,1448166,1638505
1743512,1447901,1637307
1743228,1447920,1638979
1743115,1448091,1638782
1743131,1448165,1638477
1742827,1448460,1637858
1742487,1448205,1638232
1742487,1448311,1638337
1742705,1448380,1637717
1742644,1448469,1637226
1742788,1448409,1637770
1742611,1448572,1636021
1742518,1448356,1636561
1742674,1449066,1636994
1742592,1449124,1636133
1742651,1449120,1636608
1742601,1449231,1636587
1742673,1449322,1636636
1742509,1449088,1636896
1742492,1449303,1636951
1742445,1449093,1636345
1742871,1449297,1637030
1743112,1449284,1636146
1743044,1449259,1637097
