Device disconnected: 68:37:22:d2:22:6d (Reason: 531)
Initializing AFE4404...
Initialized Success!
PD4:1741027, PD2:1443096
PD4:1741036, PD2:1443313
PD4:1741469, PD2:1443253
PD4:1741297, PD2:1443546
PD4:1740967, PD2:1443591
PD4:1741073, PD2:1443386
PD4:1741427, PD2:1443320
PD4:1741258, PD2:1443577
PD4:1740930, PD2:1443475
PD4:1741126, PD2:1443263
PD4:1740685, PD2:1443027
PD4:1740899, PD2:1443283
PD4:1741014, PD2:1443117
PD4:1741351, PD2:1443296
PD4:1741389, PD2:1443322
PD4:1741488, PD2:1443228
PD4:1741076, PD2:1443176
PD4:1741222, PD2:1443383
PD4:1741426, PD2:1443312
PD4:1741102, PD2:1443977
PD4:1740830, PD2:1443548
PD4:1740830, PD2:1443602
PD4:1740942, PD2:1443327
PD4:1740993, PD2:1443073
PD4:1741337, PD2:1443272
PD4:1741039, PD2:1442404
PD4:1740906, PD2:1441666
PD4:1740741, PD2:1441048
PD4:1740472, PD2:1440736
PD4:1740340, PD2:1440519
PD4:1740375, PD2:1440434
PD4:1740272, PD2:1440044
PD4:1739789, PD2:1439627
PD4:1739658, PD2:1439619
PD4:1739673, PD2:1440023
PD4:1739689, PD2:1439678
PD4:1739754, PD2:1439561
PD4:1739662, PD2:1439625
PD4:1739514, PD2:1439233
PD4:1739246, PD2:1439105
PD4:1739260, PD2:1439236
PD4:1739134, PD2:1439131
PD4:1739215, PD2:1439232
PD4:1739116, PD2:1439065
PD4:1739047, PD2:1439113
PD4:1739016, PD2:1439180
PD4:1738595, PD2:1439448
PD4:1738634, PD2:1439366
PD4:1738488, PD2:1439546
PD4:1738679, PD2:1439212
PD4:1738478, PD2:1439205
PD4:1738711, PD2:1438787
PD4:1738276, PD2:1438696
PD4:1738580, PD2:1438677
PD4:1738501, PD2:1438642
PD4:1738675, PD2:1438588
PD4:1738732, PD2:1438590
PD4:1738443, PD2:1438520
PD4:1738372, PD2:1438375
PD4:1738506, PD2:1438552
PD4:1738389, PD2:1438569
PD4:1738267, PD2:1438877
PD4:1738058, PD2:1439222
PD4:1738058, PD2:1438792
PD4:1738111, PD2:1438914
PD4:1738023, PD2:1438733
PD4:1738162, PD2:1438925
PD4:1738151, PD2:1438604
PD4:1738013, PD2:1438479
PD4:1738111, PD2:1438666
PD4:1738146, PD2:1438848
PD4:1738062, PD2:1438676
PD4:1738111, PD2:1438797
PD4:1738070, PD2:1439329
PD4:1738061, PD2:1438859
PD4:1737986, PD2:1438703
PD4:1738106, PD2:1438690
PD4:1738156, PD2:1438724
PD4:1738136, PD2:1438978
PD4:1738502, PD2:1438907
PD4:1738290, PD2:1438736
PD4:1738504, PD2:1438752
PD4:1738498, PD2:1438900
PD4:1738593, PD2:1439019
PD4:1738603, PD2:1439314
PD4:1738205, PD2:1439464
PD4:1738205, PD2:1439093
PD4:1738360, PD2:1439167
PD4:1738394, PD2:1439156
PD4:1738578, PD2:1439404
PD4:1738464, PD2:1439231
PD4:1738695, PD2:1439012
PD4:1738668, PD2:1439321
PD4:1738508, PD2:1438924
PD4:1738535, PD2:1439052
PD4:1738524, PD2:1438767
PD4:1738199, PD2:1438332
PD4:1738060, PD2:1437886
PD4:1737970, PD2:1437630
PD4:1738035, PD2:1437592
PD4:1738167, PD2:1437399
PD4:1738357, PD2:1437283
PD4:1737999, PD2:1437237
PD4:1737930, PD2:1437103
PD4:1737437, PD2:1437092
PD4:1737809, PD2:1437214
PD4:1737805, PD2:1437637
PD4:1737306, PD2:1437822
PD4:1737306, PD2:1437577
PD4:1737290, PD2:1437530
PD4:1737229, PD2:1437692
PD4:1737149, PD2:1437676
PD4:1737468, PD2:1437662
PD4:1737441, PD2:1437645
PD4:1737284, PD2:1438130
PD4:1737111, PD2:1438540
PD4:1737322, PD2:1438688
PD4:1737395, PD2:1439012
PD4:1737400, PD2:1438840
PD4:1737408, PD2:1438618
PD4:1737450, PD2:1438120
PD4:1737594, PD2:1438337
PD4:1737636, PD2:1438312
PD4:1738120, PD2:1438375
PD4:1738131, PD2:1438187
PD4:1737822, PD2:1438244
PD4:1738171, PD2:1438100
PD4:1737821, PD2:1438318
PD4:1738052, PD2:1438023
PD4:1737872, PD2:1438402
PD4:1737669, PD2:1438337
PD4:1737669, PD2:1438236
PD4:1737586, PD2:1438072
PD4:1737501, PD2:1438142
PD4:1737610, PD2:1438173
PD4:1737484, PD2:1437989
PD4:1737494, PD2:1437684
PD4:1737595, PD2:1437943
PD4:1737349, PD2:1438120
PD4:1737484, PD2:1438004
PD4:1737474, PD2:1438146
PD4:1737464, PD2:1438065
PD4:1737193, PD2:1437665
PD4:1737351, PD2:1437731
PD4:1737329, PD2:1437817
PD4:1737518, PD2:1437785
PD4:1737774, PD2:1437936
PD4:1737783, PD2:1437410
PD4:1737780, PD2:1437681
PD4:1738019, PD2:1437711
PD4:1737957, PD2:1437839
PD4:1737887, PD2:1438241
PD4:1737623, PD2:1438259
PD4:1737556, PD2:1438249
PD4:1737556, PD2:1437873
PD4:1737571, PD2:1438343
PD4:1737671, PD2:1438479
PD4:1737769, PD2:1438308
PD4:1737918, PD2:1438190
PD4:1737681, PD2:1438387
PD4:1737887, PD2:1438622
PD4:1737771, PD2:1438373
PD4:1737976, PD2:1438648
PD4:1737949, PD2:1438715
PD4:1738045, PD2:1438357
PD4:1737885, PD2:1438190
PD4:1738034, PD2:1438157
PD4:1738208, PD2:1438015
PD4:1738545, PD2:1437854
PD4:1738336, PD2:1437513
PD4:1738511, PD2:1436978
PD4:1738173, PD2:1436813
PD4:1738416, PD2:1436869
PD4:1738485, PD2:1436547
PD4:1738401, PD2:1436594
PD4:1738401, PD2:1436396
PD4:1737927, PD2:1436179
PD4:1738109, PD2:1436338
PD4:1737759, PD2:1436351
PD4:1738150, PD2:1436042
PD4:1738036, PD2:1435899
PD4:1737774, PD2:1436096
PD4:1737854, PD2:1436360
PD4:1738067, PD2:1436799
PD4:1738143, PD2:1436873
PD4:1738140, PD2:1436740
PD4:1737934, PD2:1436689
PD4:1738004, PD2:1436492
PD4:1737954, PD2:1436755
PD4:1738367, PD2:1436881
PD4:1738885, PD2:1437068
PD4:1738822, PD2:1437034
PD4:1738468, PD2:1437169
PD4:1738464, PD2:1437246
PD4:1738733, PD2:1437353
PD4:1738607, PD2:1437431
PD4:1738706, PD2:1437570
PD4:1738304, PD2:1437601
PD4:1738304, PD2:1437609
PD4:1738225, PD2:1437360
PD4:1738420, PD2:1437631
PD4:1738372, PD2:1437436
PD4:1738405, PD2:1437670
PD4:1738210, PD2:1437902
PD4:1738632, PD2:1437783
PD4:1737921, PD2:1438034
PD4:1738269, PD2:1438228
PD4:1738414, PD2:1438334
PD4:1738541, PD2:1438467
PD4:1738404, PD2:1438140
PD4:1738433, PD2:1438244
PD4:1738930, PD2:1438244
PD4:1739133, PD2:1438528
PD4:1738981, PD2:1438603
PD4:1738843, PD2:1438457
PD4:1738828, PD2:1438426
PD4:1738958, PD2:1438658
PD4:1738930, PD2:1438599
PD4:1738856, PD2:1439063
PD4:1738692, PD2:1439034
PD4:1738692, PD2:1438480
PD4:1738916, PD2:1438752
PD4:1738350, PD2:1439150
PD4:1739051, PD2:1439163
PD4:1739138, PD2:1439103
PD4:1739097, PD2:1438888
PD4:1739586, PD2:1439047
PD4:1739386, PD2:1439241
PD4:1739253, PD2:1439361
PD4:1739344, PD2:1439623
PD4:1739219, PD2:1439434
PD4:1739208, PD2:1439386
PD4:1739296, PD2:1439242
PD4:1739515, PD2:1439604
PD4:1739580, PD2:1439605
PD4:1740016, PD2:1439653
PD4:1739935, PD2:1439662
PD4:1739833, PD2:1439223
PD4:1739630, PD2:1439191
PD4:1739860, PD2:1439574
PD4:1739880, PD2:1439365
PD4:1739513, PD2:1438976
PD4:1739513, PD2:1438599
PD4:1739201, PD2:1438489
PD4:1739546, PD2:1438507
