GREEN,RED,IR
1526997,1807795,699131
1527535,1808424,725813
1527770,1808660,733458
1528158,1809026,736937
1528037,1809299,736937
1528037,1809185,737220
1527936,1809304,737616
1528179,1809227,739316
1528552,1809710,742923
1528430,1809848,745851
1528651,1810301,747743
1528795,1810903,748692
1529087,1811717,750101
1529125,1812231,751412
1529692,1813015,753296
1529881,1814531,756682
1530279,1816436,759959
1530480,1817967,765306
1530820,1817889,776302
1529957,1805975,798067
1529823,1802107,825667
1529681,1798536,860316
1528213,1795640,875338
1527617,1792871,882236
1527523,1790963,886001
1526890,1789508,885198
1526564,1788943,883805
1526187,1788253,884985
1526005,1787680,888342
1525648,1787642,893285
1525643,1787749,900667
1525388,1787881,911605
1525542,1788030,922382
1525523,1788040,930855
1525386,1788013,936577
1525237,1788333,937696
1525374,1788160,937716
1524630,1788221,937619
1524857,1788359,936971
1524479,1788855,937055
1524479,1789323,939082
1524900,1789143,942211
1524649,1789395,943192
1524867,1789450,940843
1524880,1789416,937338
1524929,1789080,933182
1524681,1789475,929328
1524543,1789174,929173
1524253,1789084,942198
1524703,1789257,953408
1524447,1789505,963799
1524549,1789562,973163
1524434,1789973,979156
1524485,1790231,983949
1524393,1790707,988444
1524910,1790952,993521
1524874,1791494,998945
1525027,1791969,1006869
1525132,1792030,1016447
1525179,1792861,1025429
1525290,1793511,1034414
1525107,1794540,1039409
1525107,1794801,1041575
1525071,1795259,1042557
1525286,1795720,1041692
1525273,1796211,1040278
1525494,1796417,1038448
1525497,1796254,1037424
1525925,1796706,1037537
1526124,1797198,1037103
1526413,1797274,1036321
1526477,1797579,1032343
1526804,1798100,1028977
1526722,1798092,1025185
1526572,1798913,1024174
1526603,1798613,1024181
1526997,1799194,1026709
1527171,1799695,1029206
1527380,1800201,1030773
1527286,1800377,1031196
1527285,1801267,1028332
1527170,1801914,1023753
1527595,1803686,1018662
1527506,1805534,1011659
1527293,1807163,1006687
1527293,1808396,1006922
1527527,1810223,1008462
1527564,1811585,1014625
1528019,1813513,1020959
1528112,1814619,1025654
1528063,1815864,1028678
1528059,1817520,1029859
1528327,1820357,1027208
1528496,1822132,1017154
1528451,1822927,1013880
1528649,1824464,1013371
1528672,1825099,1014136
1528753,1825710,1016783
1528333,1826331,1016341
1528729,1826725,1015842
1529170,1826938,1015879
1529656,1826925,1014747
1529295,1825794,1013144
1529538,1823525,1010194
1529521,1820057,1007988
1529663,1814403,1006940
1529340,1808957,1006698
1528604,1803728,1008949
1528604,1800780,1010510
1528304,1797882,1013556
1527650,1795655,1016595
1527428,1794199,1018616
1527077,1792655,1020510
1526875,1791672,1022667
1526440,1791130,1025939
1526423,1791549,1039700
1526327,1791886,1047885
1526718,1792036,1055219
1526349,1792277,1060708
1526380,1791994,1062754
1526345,1791871,1064025
1526461,1791940,1062922
1526392,1792489,1060285
1526552,1792877,1056890
1526616,1793299,1055283
1526693,1793288,1053228
1526882,1793481,1053801
1527107,1793076,1056951
1527112,1793132,1060847
1527241,1792842,1064314
